"2021 2020 2019Average Average AverageYears Ended December 31,InterestAverageBalanceInterestAverageBalance InterestAverageBalance(Millions,except percentages) (a） Income Yield (a） Income Yield (a) Income Yield","2021 2020 2019Average Average AverageYears Ended December 31,InterestAverageBalanceInterestAverageBalance InterestAverageBalance(Millions,except percentages) (a） Income Yield (a） Income Yield (a) Income Yield","2021 2020 2019Average Average AverageYears Ended December 31,InterestAverageBalanceInterestAverageBalance InterestAverageBalance(Millions,except percentages) (a） Income Yield (a） Income Yield (a) Income Yield","2021 2020 2019Average Average AverageYears Ended December 31,InterestAverageBalanceInterestAverageBalance InterestAverageBalance(Millions,except percentages) (a） Income Yield (a） Income Yield (a) Income Yield","2021 2020 2019Average Average AverageYears Ended December 31,InterestAverageBalanceInterestAverageBalance InterestAverageBalance(Millions,except percentages) (a） Income Yield (a） Income Yield (a) Income Yield","2021 2020 2019Average Average AverageYears Ended December 31,InterestAverageBalanceInterestAverageBalance InterestAverageBalance(Millions,except percentages) (a） Income Yield (a） Income Yield (a) Income Yield","2021 2020 2019Average Average AverageYears Ended December 31,InterestAverageBalanceInterestAverageBalance InterestAverageBalance(Millions,except percentages) (a） Income Yield (a） Income Yield (a) Income Yield","2021 2020 2019Average Average AverageYears Ended December 31,InterestAverageBalanceInterestAverageBalance InterestAverageBalance(Millions,except percentages) (a） Income Yield (a） Income Yield (a) Income Yield","2021 2020 2019Average Average AverageYears Ended December 31,InterestAverageBalanceInterestAverageBalance InterestAverageBalance(Millions,except percentages) (a） Income Yield (a） Income Yield (a) Income Yield","2021 2020 2019Average Average AverageYears Ended December 31,InterestAverageBalanceInterestAverageBalance InterestAverageBalance(Millions,except percentages) (a） Income Yield (a） Income Yield (a) Income Yield","2021 2020 2019Average Average AverageYears Ended December 31,InterestAverageBalanceInterestAverageBalance InterestAverageBalance(Millions,except percentages) (a） Income Yield (a） Income Yield (a) Income Yield","2021 2020 2019Average Average AverageYears Ended December 31,InterestAverageBalanceInterestAverageBalance InterestAverageBalance(Millions,except percentages) (a） Income Yield (a） Income Yield (a) Income Yield","2021 2020 2019Average Average AverageYears Ended December 31,InterestAverageBalanceInterestAverageBalance InterestAverageBalance(Millions,except percentages) (a） Income Yield (a） Income Yield (a) Income Yield","2021 2020 2019Average Average AverageYears Ended December 31,InterestAverageBalanceInterestAverageBalance InterestAverageBalance(Millions,except percentages) (a） Income Yield (a） Income Yield (a) Income Yield","2021 2020 2019Average Average AverageYears Ended December 31,InterestAverageBalanceInterestAverageBalance InterestAverageBalance(Millions,except percentages) (a） Income Yield (a） Income Yield (a) Income Yield",,,,,,,,,,
"2021 2020 2019Average Average AverageYears Ended December 31,InterestAverageBalanceInterestAverageBalance InterestAverageBalance(Millions,except percentages) (a） Income Yield (a） Income Yield (a) Income Yield","2021 2020 2019Average Average AverageYears Ended December 31,InterestAverageBalanceInterestAverageBalance InterestAverageBalance(Millions,except percentages) (a） Income Yield (a） Income Yield (a) Income Yield","2021 2020 2019Average Average AverageYears Ended December 31,InterestAverageBalanceInterestAverageBalance InterestAverageBalance(Millions,except percentages) (a） Income Yield (a） Income Yield (a) Income Yield","2021 2020 2019Average Average AverageYears Ended December 31,InterestAverageBalanceInterestAverageBalance InterestAverageBalance(Millions,except percentages) (a） Income Yield (a） Income Yield (a) Income Yield","2021 2020 2019Average Average AverageYears Ended December 31,InterestAverageBalanceInterestAverageBalance InterestAverageBalance(Millions,except percentages) (a） Income Yield (a） Income Yield (a) Income Yield","2021 2020 2019Average Average AverageYears Ended December 31,InterestAverageBalanceInterestAverageBalance InterestAverageBalance(Millions,except percentages) (a） Income Yield (a） Income Yield (a) Income Yield","2021 2020 2019Average Average AverageYears Ended December 31,InterestAverageBalanceInterestAverageBalance InterestAverageBalance(Millions,except percentages) (a） Income Yield (a） Income Yield (a) Income Yield","2021 2020 2019Average Average AverageYears Ended December 31,InterestAverageBalanceInterestAverageBalance InterestAverageBalance(Millions,except percentages) (a） Income Yield (a） Income Yield (a) Income Yield","2021 2020 2019Average Average AverageYears Ended December 31,InterestAverageBalanceInterestAverageBalance InterestAverageBalance(Millions,except percentages) (a） Income Yield (a） Income Yield (a) Income Yield","2021 2020 2019Average Average AverageYears Ended December 31,InterestAverageBalanceInterestAverageBalance InterestAverageBalance(Millions,except percentages) (a） Income Yield (a） Income Yield (a) Income Yield","2021 2020 2019Average Average AverageYears Ended December 31,InterestAverageBalanceInterestAverageBalance InterestAverageBalance(Millions,except percentages) (a） Income Yield (a） Income Yield (a) Income Yield","2021 2020 2019Average Average AverageYears Ended December 31,InterestAverageBalanceInterestAverageBalance InterestAverageBalance(Millions,except percentages) (a） Income Yield (a） Income Yield (a) Income Yield","2021 2020 2019Average Average AverageYears Ended December 31,InterestAverageBalanceInterestAverageBalance InterestAverageBalance(Millions,except percentages) (a） Income Yield (a） Income Yield (a) Income Yield","2021 2020 2019Average Average AverageYears Ended December 31,InterestAverageBalanceInterestAverageBalance InterestAverageBalance(Millions,except percentages) (a） Income Yield (a） Income Yield (a) Income Yield","2021 2020 2019Average Average AverageYears Ended December 31,InterestAverageBalanceInterestAverageBalance InterestAverageBalance(Millions,except percentages) (a） Income Yield (a） Income Yield (a) Income Yield",InterestAverage Balance InterestAverageIncome Yield (a） Income Yield,InterestAverage Balance InterestAverageIncome Yield (a） Income Yield,InterestAverage Balance InterestAverageIncome Yield (a） Income Yield,InterestAverage Balance InterestAverageIncome Yield (a） Income Yield,InterestAverage Balance InterestAverageIncome Yield (a） Income Yield,InterestAverage Balance InterestAverageIncome Yield (a） Income Yield,InterestAverage Balance InterestAverageIncome Yield (a） Income Yield,AverageYield,AverageYield,AverageYield
Interest-earningassetsInterest-bearing deposits in otherbanks,Interest-earningassetsInterest-bearing deposits in otherbanks,,,,,,,,,$ 517 2.3%48 2.3,$ 517 2.3%48 2.3,$ 517 2.3%48 2.3,$ 517 2.3%48 2.3,,,,,,,,,,,
Interest-earningassetsInterest-bearing deposits in otherbanks,Interest-earningassetsInterest-bearing deposits in otherbanks,,,,,,,,,$ 517 2.3%48 2.3,$ 517 2.3%48 2.3,$ 517 2.3%48 2.3,$ 517 2.3%48 2.3,,,,,,,,,,,
U.S.,U.S.,"$ 25,583",$ 34,0.1%,"0.1% $ 31,446","0.1% $ 31,446","0.1% $ 31,446",$ 100,0.3%,$ 517 2.3%48 2.3,$ 517 2.3%48 2.3,$ 517 2.3%48 2.3,$ 517 2.3%48 2.3,0.3% $ 22.169,InterestAverage Balance InterestAverageIncome Yield (a） Income Yield,InterestAverage Balance InterestAverageIncome Yield (a） Income Yield,InterestAverage Balance InterestAverageIncome Yield (a） Income Yield,InterestAverage Balance InterestAverageIncome Yield (a） Income Yield,InterestAverage Balance InterestAverageIncome Yield (a） Income Yield,InterestAverage Balance InterestAverageIncome Yield (a） Income Yield,InterestAverage Balance InterestAverageIncome Yield (a） Income Yield,2.3%,,
Non-U.S.,Non-U.S.,2.291,54,2.4,2.367,2.367,2.367,51,2.2,$ 517 2.3%48 2.3,$ 517 2.3%48 2.3,$ 517 2.3%48 2.3,$ 517 2.3%48 2.3,2.085,InterestAverage Balance InterestAverageIncome Yield (a） Income Yield,InterestAverage Balance InterestAverageIncome Yield (a） Income Yield,InterestAverage Balance InterestAverageIncome Yield (a） Income Yield,InterestAverage Balance InterestAverageIncome Yield (a） Income Yield,InterestAverage Balance InterestAverageIncome Yield (a） Income Yield,InterestAverage Balance InterestAverageIncome Yield (a） Income Yield,InterestAverage Balance InterestAverageIncome Yield (a） Income Yield,,48,2.3
Federal funds sold and securities,Federal funds sold and securities,,,一,1,1,1,,,,,,,,,,,,,,,,,
purchased under agreements toresell,purchased under agreements toresell,,一,一,1,1,1,,,,,,,,,,,,,,,,,
U.S.,U.S.,1,一,一,1,1,1,1,1,19,3,3,3,15.8,,,,,,,,,,
,Non-U.S.,196,10,5.1,184,184,184,117,6.0,56,6,6,6,10.72.7,,,,,,,,,,
,Short-term investment securities,,,1,658,658,658,117,,,,,,10.72.7,,,,,,,,,,
