"Year Ended December 31(Millions,except per share amounts)","Year Ended December 31(Millions,except per share amounts)","Year Ended December 31(Millions,except per share amounts)",2021,2020,2019,,
RevenuesNon-interest revenuesDiscount revenueNet card feesOther fees and commissionsOther,RevenuesNon-interest revenuesDiscount revenueNet card feesOther fees and commissionsOther,RevenuesNon-interest revenuesDiscount revenueNet card feesOther fees and commissionsOther,,,,,
RevenuesNon-interest revenuesDiscount revenueNet card feesOther fees and commissionsOther,RevenuesNon-interest revenuesDiscount revenueNet card feesOther fees and commissionsOther,RevenuesNon-interest revenuesDiscount revenueNet card feesOther fees and commissionsOther,,"$ 25,727 $","20,401 $","26,167",
RevenuesNon-interest revenuesDiscount revenueNet card feesOther fees and commissionsOther,RevenuesNon-interest revenuesDiscount revenueNet card feesOther fees and commissionsOther,RevenuesNon-interest revenuesDiscount revenueNet card feesOther fees and commissionsOther,,,"5,195","4,664","4,042"
RevenuesNon-interest revenuesDiscount revenueNet card feesOther fees and commissionsOther,RevenuesNon-interest revenuesDiscount revenueNet card feesOther fees and commissionsOther,RevenuesNon-interest revenuesDiscount revenueNet card feesOther fees and commissionsOther,2.392,"2,163",3.297,,
RevenuesNon-interest revenuesDiscount revenueNet card feesOther fees and commissionsOther,RevenuesNon-interest revenuesDiscount revenueNet card feesOther fees and commissionsOther,RevenuesNon-interest revenuesDiscount revenueNet card feesOther fees and commissionsOther,"1,316",874,"1,430",,
Total non-interest revenues,Total non-interest revenues,Total non-interest revenues,"34,630","28,102","34,936",,
Interest incomeInterest on loansInterest and dividends on investment securitiesDeposits with banks and other,Interest incomeInterest on loansInterest and dividends on investment securitiesDeposits with banks and other,Interest incomeInterest on loansInterest and dividends on investment securitiesDeposits with banks and other,"8,850",9.779,"11,308",,
Interest incomeInterest on loansInterest and dividends on investment securitiesDeposits with banks and other,Interest incomeInterest on loansInterest and dividends on investment securitiesDeposits with banks and other,Interest incomeInterest on loansInterest and dividends on investment securitiesDeposits with banks and other,83,127,188,,
Interest incomeInterest on loansInterest and dividends on investment securitiesDeposits with banks and other,Interest incomeInterest on loansInterest and dividends on investment securitiesDeposits with banks and other,Interest incomeInterest on loansInterest and dividends on investment securitiesDeposits with banks and other,100,177,588,,
Total interest income,Total interest income,Total interest income,"9,033","10,083","12,084",,
Interest expenseDepositsLong-term debt and other,Interest expenseDepositsLong-term debt and other,Interest expenseDepositsLong-term debt and other,458,,,,
Interest expenseDepositsLong-term debt and other,Interest expenseDepositsLong-term debt and other,Interest expenseDepositsLong-term debt and other,458,943,"1,559",,
Interest expenseDepositsLong-term debt and other,Interest expenseDepositsLong-term debt and other,Interest expenseDepositsLong-term debt and other,825,"1,155",1.905,,
Total interest expense,Total interest expense,Total interest expense,"1,283","2,098","3,464",,
Net interest income,Net interest income,Net interest income,7.750,7.985,8.620,,
Total revenues net of interest expense,Total revenues net of interest expense,Total revenues net of interest expense,"42,380","36,087","43,556",,
