(Millions),2021,2020
Deferred tax assets:,Reserves not yet deducted for tax purposes,"$ 3,637,$ 3,905"
Deferred tax assets:,Employee compensation and benefits,"359,383"
Deferred tax assets:,Net operating loss and tax credit carryforwards,"398,399"
Deferred tax assets:,Other,"809,765"
Gross deferred tax assets,"5,203","5,452"
Valuation allowance,(472),(418)
Deferred tax assets after valuation allowance,"4,731","5,034"
Deferred tax liabilities:,Intangibles and fixed assets,"1,320,1,433"
Deferred tax liabilities:,Deferred revenue,"189,252"
Deferred tax liabilities:,Deferred interest,"133,148"
Deferred tax liabilities:,Investment in joint ventures,"183,135"
Deferred tax liabilities:,Other,"521,366"
Gross deferred tax liabilities,"2,346","2,334"
Net deferred tax assets,"$ 2,385","$ 2,700"
