December 31,(Millions),Within 1 year (a),1-5 years (b) (c),5-15 years (c),After 15 years (c),Total
Loans,U.S. loans,Card Member,"$ 76,500",$ 378,$,"$ 76,878"
,Other,554,"1,997",98,34,"2,683"
Non-U.S. loans,Card Member,"11,684",$,$,$,"11,684"
,Other,163,65,$,$,228
Total loans,"$ 88,901","$ 2,440",$ 98,$ 34,"$ 91,473",
Loans due after one year at fixed interest rates,Card Member,$ 378,$,$,$ 378,
,Other,"2,038",$,$,"2,072",
Loans due after one year at variable interest rates,Card Member,$,$,$,$,
,Other,24,98,$,122,
Total loans,"$ 2,440",$ 98,$ 34,"$ 2,572",,
Card Member receivables,U.S.,"$ 38,284",$ 128,$,"$ 38,412",
,Non-U.S.,"15,233",$,$,"15,233",
Total Card Member receivables,"$ 53,517",$ 128,$,"$ 53,645",,
