,2021,2021,2021,2021,2021,2020,2020,2020,2020,2020
(Millions),Total,Level 1,,Level 2,Level 3,Total,Level 1,,Level 2,Level 3
Assets:,,,,,,,,,,
Investment securities: (a),,,,,,,,,,
Equity securities,79,$,78 $,1,,81,$,80$,1,
Debt securities,2.512,,,2.480,32,"21,550",,,"21,550",
"Derivatives, gross (a)",590,,一,590,1,629,,,629,
Total Assets,"3,181",,78,"3,071",32,22.260,,80,"22,180",
Liabilities:,,,,,,,,,,
"Derivatives, gross (a)",139,,,139,,,702,,702,
Total Liabilities,139,$,$ 一,139,一,$,702 $,$,702$,
