Metric,Change 2021 vs. 2020,Change 2020 vs. 2019
Years Ended December 31,Change 2020 vs. 2019,Network volumes:(billions)
U.S.,$897.0,$708.1
$840.7,27 %,(16)%
Outside the U.S.,387.2,329.7
425.0,17,(22)
Total,1284.2,1037.8
1265.7,24,(18)
Billed business,1089.8,870.7
1070.5,25,(19)
Processed volumes,194.4,167.1
195.2,16,(14)
Total,1284.2,1037.8
1265.7,24,(18)
Cards-in-force:(millions),,
U.S.,56.4,53.8
54.7,5,(2)
Outside the U.S.,65.3,58.2
59.7,12,(3)
Total,121.7,112.0
114.4,9,(2)
Proprietary,71.4,68.9
70.3,4,(2)
GNS,50.3,43.1
44.1,17,(2)
Total,121.7,112.0
114.4,9,(2)
Basic cards-in-force:(millions),,
U.S.,44.3,42.2
43.0,5,(2)
Outside the U.S.,56.4,49.1
50.0,15,(2)
Total,100.7,91.3
93.0,10,(2)
Average proprietary basic Card Member spending:(dollars),,
U.S.,$22,477
$18,085,$21
515,24,(16)
Outside the U.S.,$15,251
$12,264,$16
351,24,(25)
Worldwide Average,$20,392
$16,352,$19
972,25,(18)
Average discount rate,2.30 %,2.28 %
2.37 %,,
Average fee per card (dollars)(a),$74,$67
$58,10 %,16 %
