,2021,2021,2021,2021,2020,2020,2020
,Original Contractual Maturity Dates,Outstanding Balance(@,Year-End Interest Rate on Debt(b),Year-End Interest Ratewith Swaps(b)(c),Outstanding Balance(@),Year-End Interest Rate on Debt(b),Year-End Interest Rate with Swaps(b)(c)
American Express Company (Parent Company only),,,,,,,
Fixed Rate Senior Notes,2022 -2042,"$ 18,324",3.02%,2.03%,"18,251",3.25%,2.09%
Floating Rate Senior Notes,2022 - 2026,"3,300",0.69,1,"4,000",0.84,一
Fixed Rate Subordinated Notes,2024,599,3.63,1.38,599,3.63,1.43
American Express Credit Corporation,,,,,,,
Fixed Rate Senior Notes,2022 - 2027,2.078,2.80,1.32,"6,746",2.38,1.67
Floating Rate Senior Notes,2022,300,0.87,一,300,0.93,一
Lending Trust Fixed Rate Senior Notes,2022 -2024,"8,199",2.01,,"8,325",,
Floating Rate Senior Notes,2022 -2023,"3,325",,1.82,,2.74,2.55
Fixed Rate Subordinated Notes,,212,0.49 2.72,1,"4,125 246",0.51,1
Floating Rate Subordinated Notes,2022 2022-2023,79,0.68,一,79,2.80 0.73,
Charge Trust Floating Rate Conduit Borrowings,,,,,,,
Other,2024,2.000,0.40,,1,1,
Finance Leases Floating Rate Borrowings,2024-2033 2022 - 2024,14 297,5.49,一 1%,17 328,5.54,
Unamortized Underwriting Fees,,(52),0.42,,(64),0.42,1%
Total Long-Term Debt,,"38,675",2.22%,,42.952,2.49%,
