"AccumulatedAdditional OtherPreferred Common Paid-in Comprehensive Retained(Millions,except per share amounts) Total Shares Shares Capital Income (Loss) Earnings","AccumulatedAdditional OtherPreferred Common Paid-in Comprehensive Retained(Millions,except per share amounts) Total Shares Shares Capital Income (Loss) Earnings","AccumulatedAdditional OtherPreferred Common Paid-in Comprehensive Retained(Millions,except per share amounts) Total Shares Shares Capital Income (Loss) Earnings","AccumulatedAdditional OtherPreferred Common Paid-in Comprehensive Retained(Millions,except per share amounts) Total Shares Shares Capital Income (Loss) Earnings","AccumulatedAdditional OtherPreferred Common Paid-in Comprehensive Retained(Millions,except per share amounts) Total Shares Shares Capital Income (Loss) Earnings","AccumulatedAdditional OtherPreferred Common Paid-in Comprehensive Retained(Millions,except per share amounts) Total Shares Shares Capital Income (Loss) Earnings","AccumulatedAdditional OtherPreferred Common Paid-in Comprehensive Retained(Millions,except per share amounts) Total Shares Shares Capital Income (Loss) Earnings","AccumulatedAdditional OtherPreferred Common Paid-in Comprehensive Retained(Millions,except per share amounts) Total Shares Shares Capital Income (Loss) Earnings",,,,,
"AccumulatedAdditional OtherPreferred Common Paid-in Comprehensive Retained(Millions,except per share amounts) Total Shares Shares Capital Income (Loss) Earnings","AccumulatedAdditional OtherPreferred Common Paid-in Comprehensive Retained(Millions,except per share amounts) Total Shares Shares Capital Income (Loss) Earnings","AccumulatedAdditional OtherPreferred Common Paid-in Comprehensive Retained(Millions,except per share amounts) Total Shares Shares Capital Income (Loss) Earnings","AccumulatedAdditional OtherPreferred Common Paid-in Comprehensive Retained(Millions,except per share amounts) Total Shares Shares Capital Income (Loss) Earnings","AccumulatedAdditional OtherPreferred Common Paid-in Comprehensive Retained(Millions,except per share amounts) Total Shares Shares Capital Income (Loss) Earnings","AccumulatedAdditional OtherPreferred Common Paid-in Comprehensive Retained(Millions,except per share amounts) Total Shares Shares Capital Income (Loss) Earnings","AccumulatedAdditional OtherPreferred Common Paid-in Comprehensive Retained(Millions,except per share amounts) Total Shares Shares Capital Income (Loss) Earnings","AccumulatedAdditional OtherPreferred Common Paid-in Comprehensive Retained(Millions,except per share amounts) Total Shares Shares Capital Income (Loss) Earnings",Common,Paid-in,Comprehensive,Comprehensive,Retained
"AccumulatedAdditional OtherPreferred Common Paid-in Comprehensive Retained(Millions,except per share amounts) Total Shares Shares Capital Income (Loss) Earnings","AccumulatedAdditional OtherPreferred Common Paid-in Comprehensive Retained(Millions,except per share amounts) Total Shares Shares Capital Income (Loss) Earnings","AccumulatedAdditional OtherPreferred Common Paid-in Comprehensive Retained(Millions,except per share amounts) Total Shares Shares Capital Income (Loss) Earnings","AccumulatedAdditional OtherPreferred Common Paid-in Comprehensive Retained(Millions,except per share amounts) Total Shares Shares Capital Income (Loss) Earnings","AccumulatedAdditional OtherPreferred Common Paid-in Comprehensive Retained(Millions,except per share amounts) Total Shares Shares Capital Income (Loss) Earnings","AccumulatedAdditional OtherPreferred Common Paid-in Comprehensive Retained(Millions,except per share amounts) Total Shares Shares Capital Income (Loss) Earnings","AccumulatedAdditional OtherPreferred Common Paid-in Comprehensive Retained(Millions,except per share amounts) Total Shares Shares Capital Income (Loss) Earnings","AccumulatedAdditional OtherPreferred Common Paid-in Comprehensive Retained(Millions,except per share amounts) Total Shares Shares Capital Income (Loss) Earnings",Shares,Capital,Income (Loss),Income (Loss),Earnings
"Balancesas of December31,2018Net income",$ 22.290,$,$ 170,"$ 12,218",$ (2.597),$ (2.597),"$ 12,499",,,,,
"Balancesas of December31,2018Net income","6,759",,,一,一,一,"6,759",,,,,
"Other comprehensive lossRepurchase of common sharesOther changes,primarily employee plans",(140),,1,、,(140),(140),1,,,,,
"Other comprehensive lossRepurchase of common sharesOther changes,primarily employee plans","(4,585)",一,(8),(671),1,1,"(3,906)",,,,,
"Other comprehensive lossRepurchase of common sharesOther changes,primarily employee plans",186,,1,227,1,1,(42),,,,,
"Cash dividends declared preferred Series B,$52,000.00 per shareCash dividends declared preferred Series C,$49,000.00 per share",(39),,,一,1,1,(39),,,,,
"Cash dividends declared preferred Series B,$52,000.00 per shareCash dividends declared preferred Series C,$49,000.00 per share",(42),,,,,,(42),,,,,
