"As of or for the Years Ended December 31, (Millions, except percentages and where indicated)",,,,2021,,,2020,,,2019
U.S.,,,,Net interest income,$,,,$,,
U.S.,,,,,"5,933",$,,,"6,222",$
Exclude:,,,,Interest expense not attributable to our Card Member loan portfolio(a),,158,,,,276
Exclude:,,,,Interest income not attributable to our Card Member loan portfolio(b),(110),,189,,(220),
Adjusted net interest income(c),$,"5,981",,$,"6,321",,$,"6,716",,
Average Card Member loans (billions),$,52.0,,$,53.0,,$,59.4,,
Net interest income divided by average Card Member loans(c),,,,11.4 %,,,,,11.7 %,
Net interest yield on average Card Member loans(c),,,,11.5 %,,,,,11.9 %,
Outside the U.S.,,,,Net interest income,$,,,$,,
Outside the U.S.,,,,,741,$,,,923,$
Exclude:,,,,Interest expense not attributable to our Card Member loan portfolio(a),,108,,,,105
Exclude:,,,,Interest income not attributable to our Card Member loan portfolio(b),(8),,(12),,(15),
Adjusted net interest income(c),$,841,,$,"1,016",,$,"1,094",,
Average Card Member loans (billions),$,9.0,,$,8.6,,$,10.0,,
Net interest income divided by average Card Member loans(c),,,,8.2%,,,,,10.7 %,
Net interest yield on average Card Member loans(c),,,,9.4%,,,,,11.9 %,
Total,,,,Net interest income,$,,,$,,
Total,,,,,"6,674",$,,,"7,145",$
Exclude:,,,,Interest expense not attributable to our Card Member loan portfolio(a),,266,,,,393
Exclude:,,,,Interest income not attributable to our Card Member loan portfolio(b),(118),,(201),,(234),
Adjusted net interest income(c),$,"6,822",,$,"7,337",,$,"7,810",,
Average Card Member loans (billions),$,61.0,,$,61.6,,$,69.4,,
Net interest income divided by average Card Member loans(c),,,,10.9%,,,,,11.6 %,
Net interest yield on average Card Member loans(c),,,,11.2 %,,,,,11.9 %,
