"Years Ended December 31,(Millions,except percentages)","Years Ended December 31,(Millions,except percentages)","Years Ended December 31,(Millions,except percentages)",,,,Change,Change,Change2020 vs.2019,Change2020 vs.2019,,
"Years Ended December 31,(Millions,except percentages)","Years Ended December 31,(Millions,except percentages)","Years Ended December 31,(Millions,except percentages)",2021,2020,2019,2021vs.2020,2021vs.2020,Change2020 vs.2019,Change2020 vs.2019,,
Revenues,Revenues,Revenues,,,,,,,,,
Non-interest revenues,Non-interest revenues,Non-interest revenues,"$ 18,157","$ 14,632","$ 17,178",$ 3.525,24%$,(2.546),(15)%,,
Interest income,Interest income,Interest income,"7,391","8,199","9,414",(808),(10),"(1,215)",(13),,
Interest expense,Interest expense,Interest expense,717,"1,054","1,731",(337),(32),(677),(39),,
Net interest income,Net interest income,Net interest income,"6,674","7,145","7,683",(471),(7),(538),(7),,
Total revenues net of interest expenseProvisions for credit losses (a),Total revenues net of interest expenseProvisions for credit losses (a),Total revenues net of interest expenseProvisions for credit losses (a),"24,831","21,777","24,861",3.054,14,(3.084),(12),,
Total revenues net of interest expenseProvisions for credit losses (a),Total revenues net of interest expenseProvisions for credit losses (a),Total revenues net of interest expenseProvisions for credit losses (a),(945),"3,150",2.636,(4.095),#,514,19,,
Total revenues net of interest expense afterprovisionsforcredit losses,Total revenues net of interest expense afterprovisionsforcredit losses,Total revenues net of interest expense afterprovisionsforcredit losses,"25,776","18,627","22,225",7.149,38,(3.598),(16)(19),,
"ExpensesMarketing,business development,and CardMember rewardsand services","ExpensesMarketing,business development,and CardMember rewardsand services","ExpensesMarketing,business development,and CardMember rewardsand services",,9.841,"12,201",,41,(2.360),(16)(19),,
"ExpensesMarketing,business development,and CardMember rewardsand services","ExpensesMarketing,business development,and CardMember rewardsand services","ExpensesMarketing,business development,and CardMember rewardsand services","13,898",9.841,"12,201","4,057",41,(2.360),(16)(19),,
Salaries and employee benefits and otheroperating expenses,Salaries and employee benefits and otheroperating expenses,Salaries and employee benefits and otheroperating expenses,"5,052","5,099","5,179",(47),(1),(80),(2),,
Total expenses,Total expenses,,,,,,,,,,
Total expenses,Total expenses,,,,,,,,,,
Total expenses,Total expenses,,,,"18,950","14,940","17,380",4.010,2785%,(2.440),(14)
Pretaxsegment income,Pretaxsegment income,Pretaxsegment income,"$ 6,826",$ 3.687,$ 4.845,"$ 3,139","$ (1,158)",(24)%,2785%,,
