"Years Ended December 31, (Millions, except percentages)",,,,,,,,,,,,,,
U.S.,"25,583",34,0.1%,,,,,,,,,,,
Non-U.S.,"2,291",54,2.4,,,,,,,,,,,
Federal funds sold and securities purchased under agreements to resell,,,,,,,,,,,,,,
U.S.,196,10,5.1,,,,,,,,,,,
Non-U.S.,184,11,6.0,,,,,,,,,,,
Short-term investment securities,,,,,,,,,,,,,,
U.S.,360,7,1.1,,,,,,,,,,,
Non-U.S.,97,1,1.0,,,,,,,,,,,
Card Member loans (b),,,,,,,,,,,,,,
U.S.,"66,436","7,553",11.4,,,,,,,,,,,
Non-U.S.,"9,614","1,086",11.3,,,,,,,,,,,
Other loans (b),,,,,,,,,,,,,,
U.S.,"2,341",181,7.7,,,,,,,,,,,
Non-U.S.,126,30,23.8,,,,,,,,,,,
Taxable investment securities (c),,,,,,,,,,,,,,
U.S.,"13,765",62,0.5,,,,,,,,,,,
Non-U.S.,634,16,2.5,,,,,,,,,,,
Non-taxable investment securities (c),,,,,,,,,,,,,,
U.S.,87,3,4.7,,,,,,,,,,,
Other assets (d),,,,,,,,,,,,,,
Primarily U.S.,16,4,n.m.,,,,,,,,,,,
Total interest-earning assets (e),,,,,,,,,,,,,,
U.S.,"108,588","7,837",7.4%,,,,,,,,,,,
Non-U.S.,"12,967","1,196",12.4%,,,,,,,,,,,
