"(Millions,except where indicated)",GCSG,GCS,GMNS,Corporate&Other(@),Consolidated
2021Total non-interest revenuesRevenue from contracts with customers (b)Interest income,,,,,
2021Total non-interest revenuesRevenue from contracts with customers (b)Interest income,"$ 18,157","$ 11,489",$ 4.964,$,"34,630"
2021Total non-interest revenuesRevenue from contracts with customers (b)Interest income,13.047,9.863,"4,635",171,"27,716"
2021Total non-interest revenuesRevenue from contracts with customers (b)Interest income,"7,391","1,460",16,166,9.033
Interest expenseTotal revenues net of interest expensePretax income (loss),717,449,(92),209,"1,283"
Interest expenseTotal revenues net of interest expensePretax income (loss),"24,831","12,500","5,072",(23),42.380
Interest expenseTotal revenues net of interest expensePretax income (loss),"6,826",2.928,"1,949",(1.014),"10,689"
Total assets (billions),$ 102,$ 53,$ 15,$ 19,$ 189
2020Total non-interest revenues,,,,,
2020Total non-interest revenues,"$ 14,632","$ 9,652","$ 4,143 $",(325),$ 28.102
Revenue from contracts with customers (b),9.974,"8,145","3,882",(27),"21,974"
Interest income,"8,199","1,586",18,280,10.083
Interest expense,"1,054",619,(82),507,2.098
Total revenues net of interest expense,"21,777","10,619","4,243",(552),36.087
Pretax income (loss),"3,687",936,"1,315","(1,642)","4,296"
Total assets (billions),$ 87,$ 42,$ 14,$ 48,$ 191
2019Total non-interest revenues,,,,,
2019Total non-interest revenues,"$ 17,178","$ 12,242","$ 5,428",$ 88,$ 34.936
Revenue from contracts with customers (b),"12,555","10,633","4,965",6,"28,159"
Interest income,"9,414","1,900",27,743,"12,084"
Interest expense,"1,731","1,034",(303),"1,002","3.,464"
Total revenues net of interest expense,24.861,"13,108","5,758",(171),"43,556"
Pretax income (loss),4.845,"2,692",2.685,"(1,793)",8.429
Total assets (billions),$ 107,$ 53,$ 17,$ 21,$ 198
