(Millions),2021,2020
Deferred tax assets:,"$ 3,637","$ 3,905"
Deferred tax assets:,359,383
Deferred tax assets:,398,399
Deferred tax assets:,809,765
Gross deferred tax assets,"5,203","5,452"
Valuation allowance,(472),(418)
Deferred tax assets after valuation allowance,"4,731","5,034"
Deferred tax liabilities:,"1,320","1,433"
Deferred tax liabilities:,189,252
Deferred tax liabilities:,133,148
Deferred tax liabilities:,183,135
Deferred tax liabilities:,521,366
Gross deferred tax liabilities,"2,346","2,334"
Net deferred tax assets,"$ 2,385","$ 2,700"
