Outside the U.S.,Network volumes,17,14,(22),(24)
Year\over Year\Percentage\ Increase\ (Decrease)\,Percentage\ Increase\ (Decrease)\ Assuming\ No\ Changes\ in\ FX\ Rates\ (a)\,Year\over Year\Percentage\ Increase\ (Decrease)\,Percentage\ Increase\ (Decrease)\ Assuming\ No\ Changes\ in\ FX\ Rates\ (a)\,Worldwide,
Network\ volumes,24%,23%,(18)%,(19)%,
Total\ billed\ business,25,24,(19),(19),
Consumer\ billed\ business,29,28,(17),(18),
Commercial\ billed\ business,21,20,(21),(21),
Processed\ volumes,16,14,(14),(15),
U.S.,,,,,
Network\ volumes,27,,(16),,
Total\ billed\ business,26,,(16),,
Consumer\ billed\ business,32,,(15),,
Commercial\ billed\ business,21,,(18),,
Outside\ the\ U.S.,,,,,
Network\ volumes,17,14,(22),(24),
Total\ billed\ business,21,17,(26),(28),
Consumer\ billed\ business,23,19,(21),(24),
Commercial\ billed\ business,12,11,(26),(24),
Outside the U.S.,Total billed business,21,17,(26),(28)
Outside the U.S.,Consumer billed business,23,19,(21),(24)
Outside the U.S.,Commercial billed business,18,14,(32),(34)
Outside the U.S.,"Asia Pacific, Australia & New Zealand network volumes",12,9,(15),(18)
Outside the U.S.,"Latin America, Canada & Caribbean network volumes",23,22,(32),(27)
Outside the U.S.,"Europe, the Middle East & Africa network volumes",25,19,(29),(33)
Merchant Industry Metrics,Worldwide billed business,"G&S-related (81% and 86% of worldwide billed business for 2021 and 2020, respectively)",19,18,"(1),(1)"
Merchant Industry Metrics,Worldwide billed business,"T&E-related (19% and 14% of worldwide billed business for 2021 and 2020, respectively)",59,58,"(60),(60)"
Merchant Industry Metrics,Worldwide billed business,"Airline-related (3% and 3% of worldwide billed business for 2021 and 2020, respectively)",63,61 %,"(76),(76)%"
U.S. billed business,"G&S-related (82% and 87% of U.S. billed business for 2021 and 2020, respectively)",19,(1),,
U.S. billed business,"T&E-related (18% and 13% of U.S. billed business for 2021 and 2020, respectively)",70,(58),,
U.S. billed business,"Airline-related (3% and 2% of U.S. billed business for 2021 and 2020, respectively)",80%,(75)%,,
