,Due within 1,Due within 1,Due after1year but within 5,Due after1year but within 5,Dueafter 5years but within 10,Dueafter 5years but within 10,Due after 10,Due after 10,
(Millions),$,year,,years,years,,years,$,Total
State and municipal obligations (a),,6,$,5,30,$,70,,111
U.S. Government agency obligations (a),,1,,1,1,,6,,6
U.S.Government treasury obligations,,832,,862 1,10,,1,,"1,704"
Mortgage-backed securities (a)(b),,1,,1,/,,18,,18
Foreign government bonds and obligations,,628,,,1,,1,,630
Other (c),,11,,32,二,$,一,,43
Total Estimated Fair Value,$,"1,477",$,900,$,41,94,$,2.512
Total Cost,$,"1,476",$,879,$,35,,,"2,482"
Weighted average yields (d),,1.74 %,,2.42%,,$ 5.46%,92 3.10%,$,2.08%
