"December 31,(Millions)",2021,2021,2021,2021,2021,2021,2021
"December 31,(Millions)",Within 1year (a),1-5 years (b) (c),,5-15 years (c),After 15 years (c),,Total
Loans,,,,,,,
U.S. loans,,,,,,,$
Card Member,$,"76,500 $",378$,,$,一,"76,878"
Other,,554,"1,997",,98,34,"2,683"
Non-U.S. loans,,,,,,,
Card Member,,"11,684",,,,,"11,684"
Other,,163,65,,一,1,228
Total loans,,"88,901 $","2,440",$,98 $,34$,"91,473"
Loans due after one year at fixed interest rates,,$,,,,,$
Card Member Other,,,378 $ 2.038,,$,1 34,"378 2,072"
Loans due after one year at variable interest,,,,,,,
rates Card Member,,,,,,,
Other,,,24,,,,一 122
Total loans,,$,"2,440",$,98 98 $,34$,"2,572"
Card Member receivables,,,,,,,
U.S.,$,"38,284 $",128$,,$,,"$ 38,412"
Non-U.S.,,"15,233",1,,,,"15,233"
Total Card Member receivables,$,"53,517 $",128$,,$,一,"53,645"
,,,,,,$,
