2021,Number of Accounts (thousands),Aggregated Outstanding Balances Upon Default (millions),Troubled Debt Restructurings That Subsequently Defaulted: Card Member Loans,Troubled Debt Restructurings That Subsequently Defaulted: Card Member Receivables,Troubled Debt Restructurings That Subsequently Defaulted: Other Loans (b)
2021,24,$ 174,Card Member Loans,5,Other Loans (b)
2021,5,$ 56,,56,
2021,3,$ 9,,9,
2021,32,$ 239,,Total,
2020,Number of Accounts (thousands),Aggregated Outstanding Balances Upon Default (millions),Troubled Debt Restructurings That Subsequently Defaulted: Card Member Loans,Troubled Debt Restructurings That Subsequently Defaulted: Card Member Receivables,Troubled Debt Restructurings That Subsequently Defaulted: Other Loans (b)
2020,17,$ 127,Card Member Loans,3,Other Loans (b)
2020,3,$ 55,,55,
2020,3,$ 6,,6,
2020,23,$ 188,,Total,
2019,Number of Accounts (thousands),Aggregated Outstanding Balances Upon Default (millions),Troubled Debt Restructurings That Subsequently Defaulted: Card Member Loans,Troubled Debt Restructurings That Subsequently Defaulted: Card Member Receivables,Troubled Debt Restructurings That Subsequently Defaulted: Other Loans (b)
2019,12,$ 86,Card Member Loans,4,Other Loans (b)
2019,4,$ 20,,20,
2019,16,$ 106,,Total,
