Jurisdiction,Sources,Citation,Web link
Brazil,Constitution,Constituição Federal,https://perma.cc/3GFU-B7GD
Brazil,National Legislation,"Código Civil, Lei No. 10.406, de 10 de Janeiro de 2002",https://perma.cc/5HM8-Q9QJ
Brazil,National Legislation,"Decreto No. 42.628, de 13 Novembro de 1957",https://perma.cc/EVZ8-D479
Brazil,National Legislation,"Decreto No. 55.929, de 14 de Abril de 1965",https://perma.cc/LSW6-NGMP
Brazil,National Legislation,"Decreto Legislativo No. 28, de 14 de Setembro de 1990",https://perma.cc/FJD6-DNE2
Brazil,National Legislation,Decreto No. 99.710 de 21 de Novembro de 1990,https://perma.cc/SDS6-XNP5
Brazil,National Legislation,"Decreto No. 4.246, de 22 de Maio de 2002",https://perma.cc/8EDG-XM59
Brazil,National Legislation,"Decreto No. 8.501, de 18 de Agosto de 2015",https://perma.cc/9FDZ-ADLN
Brazil,National Legislation,"Decreto No. 9.199, de 20 de Novembro de 2017",https://perma.cc/C2SN-DMNV
Brazil,National Legislation,"Estatuto da Criança e do Adolescente, Lei No. 8,069, de 13 de Julho de 1990",https://perma.cc/G93D-YMGL
Brazil,National Legislation,"Lei No. 8.242, de 12 de Outubro de 1991",https://perma.cc/92FV-7LML
Brazil,National Legislation,"Lei No. 13.445, de 24 de Maio de 2017",https://perma.cc/B22B-XJTY
Brazil,National Legislation,"Resolução CONANDA No. 113, de 19 de Abril de 2006",https://perma.cc/Y3HX-72Y9
Brazil,Administrative Resolution,"Resolução Conjunta No. 1, de 9 de Agosto de 2017",https://perma.cc/9XXF-RJDR
Brazil,Ministerial Ordinance,"MJSP Portaria No. 197, de 6 de Março de 2019",https://perma.cc/KFE3-U5U9
Brazil,Ministerial Ordinance,"Resolução CONANDA No. 232, de 28 de Dezembro de 2022",https://perma.cc/S76Y-4PEC
Canada,Treaty,"Final Text of the Safe Third Country Agreement, Immigration Refugees and Citizenship Canada",https://perma.cc/4LXD-KCV7
Canada,National Legislation,"Immigration and Refugee Protection Act, S.C. 2001, c. 27.",https://perma.cc/KQ9N-XC8C
Canada,Regulation,"Immigration and Refugee Protection Regulations, SOR/2002-227.",https://perma.cc/UB4A-HSZN
