Jurisdiction,Sources,Citation,Web link,Web link,Web link,Web link,Web link,Web link,Web link,Web link,
Brazil,Constitution,Constituicao Federal,https://perma.cc/3GFU-B7GD,https://perma.cc/3GFU-B7GD,https://perma.cc/3GFU-B7GD,https://perma.cc/3GFU-B7GD,https://perma.cc/3GFU-B7GD,https://perma.cc/3GFU-B7GD,https://perma.cc/3GFU-B7GD,https://perma.cc/3GFU-B7GD,
Brazil,NationalLegislation,"C6digo Civil, Lei No. 10.406, de 10 de Janeiro de 2002",https://perma.cc/5HM8-Q9QJ,https://perma.cc/5HM8-Q9QJ,https://perma.cc/5HM8-Q9QJ,https://perma.cc/5HM8-Q9QJ,https://perma.cc/5HM8-Q9QJ,https://perma.cc/5HM8-Q9QJ,https://perma.cc/5HM8-Q9QJ,https://perma.cc/5HM8-Q9QJ,
Brazil,NationalLegislation,"Decreto No. 42.628, de 13 Novembro de 1957",https://perma.cc/EVZ8-D479,https://perma.cc/EVZ8-D479,https://perma.cc/EVZ8-D479,https://perma.cc/EVZ8-D479,https://perma.cc/EVZ8-D479,https://perma.cc/EVZ8-D479,https://perma.cc/EVZ8-D479,https://perma.cc/EVZ8-D479,
Brazil,NationalLegislation,"Decreto No. 55.929, de 14 de Abril de 1965",https://perma.cc/LSW6-NGMP,https://perma.cc/LSW6-NGMP,https://perma.cc/LSW6-NGMP,https://perma.cc/LSW6-NGMP,https://perma.cc/LSW6-NGMP,https://perma.cc/LSW6-NGMP,https://perma.cc/LSW6-NGMP,https://perma.cc/LSW6-NGMP,
Brazil,NationalLegislation,"Decreto Legislativo No.28, de 14 de Setembro de 1990",https://perma.cc/FJD6-DNE2,https://perma.cc/FJD6-DNE2,https://perma.cc/FJD6-DNE2,https://perma.cc/FJD6-DNE2,https://perma.cc/FJD6-DNE2,https://perma.cc/FJD6-DNE2,https://perma.cc/FJD6-DNE2,https://perma.cc/FJD6-DNE2,
Brazil,NationalLegislation,Decreto No. 99.710 de 21 de Novembro de 1990,https://perma.cc/SDS6-XNP5,https://perma.cc/SDS6-XNP5,https://perma.cc/SDS6-XNP5,https://perma.cc/SDS6-XNP5,https://perma.cc/SDS6-XNP5,https://perma.cc/SDS6-XNP5,https://perma.cc/SDS6-XNP5,https://perma.cc/SDS6-XNP5,
Brazil,NationalLegislation,"Decreto No. 4.246, de 22 de Maio de 2002",https://perma.cc/8EDG-XM59,https://perma.cc/8EDG-XM59,https://perma.cc/8EDG-XM59,https://perma.cc/8EDG-XM59,https://perma.cc/8EDG-XM59,https://perma.cc/8EDG-XM59,https://perma.cc/8EDG-XM59,https://perma.cc/8EDG-XM59,
Brazil,NationalLegislation,"Decreto No. 8.501, de 18 de Agosto de 2015",https://perma.cc/9FDZ-ADLN,https://perma.cc/9FDZ-ADLN,https://perma.cc/9FDZ-ADLN,https://perma.cc/9FDZ-ADLN,https://perma.cc/9FDZ-ADLN,https://perma.cc/9FDZ-ADLN,https://perma.cc/9FDZ-ADLN,https://perma.cc/9FDZ-ADLN,
Brazil,NationalLegislation,"Decreto No. 9.199,de 20 de Novembro de 2017",https://perma.cc/C2SN-DMNV,https://perma.cc/C2SN-DMNV,https://perma.cc/C2SN-DMNV,https://perma.cc/C2SN-DMNV,https://perma.cc/C2SN-DMNV,https://perma.cc/C2SN-DMNV,https://perma.cc/C2SN-DMNV,https://perma.cc/C2SN-DMNV,
Brazil,NationalLegislation,"Estatuto da Crianca e do Adolescente, Lei No. 8,069, de 13 de Julho de 1990",https://perma.cc/G93D-YMGL,https://perma.cc/G93D-YMGL,https://perma.cc/G93D-YMGL,https://perma.cc/G93D-YMGL,https://perma.cc/G93D-YMGL,https://perma.cc/G93D-YMGL,https://perma.cc/G93D-YMGL,https://perma.cc/G93D-YMGL,
Brazil,NationalLegislation,"Lei No. 8.242, de 12 de Outubro de 1991",https://perma.cc/92FV-7LML,https://perma.cc/92FV-7LML,https://perma.cc/92FV-7LML,https://perma.cc/92FV-7LML,https://perma.cc/92FV-7LML,https://perma.cc/92FV-7LML,https://perma.cc/92FV-7LML,https://perma.cc/92FV-7LML,
Brazil,NationalLegislation,"Lei No. 13.445, de 24 de Maio de 2017",https://perma.cc/B22B-XJTY,https://perma.cc/B22B-XJTY,https://perma.cc/B22B-XJTY,https://perma.cc/B22B-XJTY,https://perma.cc/B22B-XJTY,https://perma.cc/B22B-XJTY,https://perma.cc/B22B-XJTY,https://perma.cc/B22B-XJTY,
Brazil,NationalLegislation,"Resolucao CONANDA No.113, de 19 de Abril de 2006",https://perma.cc/Y3HX-72Y9,https://perma.cc/Y3HX-72Y9,https://perma.cc/Y3HX-72Y9,https://perma.cc/Y3HX-72Y9,https://perma.cc/Y3HX-72Y9,https://perma.cc/Y3HX-72Y9,https://perma.cc/Y3HX-72Y9,https://perma.cc/Y3HX-72Y9,
