Fair value through profit or loss,Fair value through other comprehensive income,Derivative instruments in hedging relationship,Derivative instruments not in hedging relationship,Amortised cost,Total carrying value
Cash and cash equivalents,,-,-,7224,7224
Bank deposits,,-,-,5428,5428
Earmarked balances with banks,,-,-,197,197
Investments,3808,24830,-,-,692
Trade receivables,,-,-,27441,27441
Unbilled receivables,,-,-,5548,5548
Loans receivables,,-,-,8089,8089
Other financial assets,,237,348,1921,2506
Total,3808,24830,237,348,56540
Trade payables,,-,-,6292,6292
Lease liabilities,- 218,,-,44,44
Other financial liabilities,218,,-,60,4912
Total,218,,-,60,11248
