Note,As at March 31, 2020,As at March 31, 2019
Inventories,5,10,,
Financial assets,,,,
Investments,25686,28280,,
Trade receivables,28660,24029,,
Unbilled receivables,4763,4389,,
Cash and cash equivalents,3852,3327,,
Other balances with banks,972,5573,,
Loans receivables,7270,7018,,
Other financial assets,1448,1613,,
Other assets,6538,4793,,
Total current assets,79194,79032,,
TOTAL ASSETS,104975,99500,,
EQUITY AND LIABILITIES,,,,
Equity,,,,
Share capital,375,375,,
Other equity,73993,78523,,
Total equity,74368,78898,,
