As at,As at,Mar 31,2020,Mar 31,2019
Considered good,Contract assets,145,100,,
Considered good,Prepaid expenses,737,151,,
Considered good,Prepaid rent,-,339,,
Considered good,Contract fulfillment costs,186,174,,
Considered good,Capital advances,50,272,,
Considered good,Advances to related parties,36,3,,
Considered good,Others,272,1,,
Considered good,1,426,1,040,
Advances to related parties, considered good, comprise:,Voltas Limited,3,2
Advances to related parties, considered good, comprise:,Tata Realty and Infrastructure Ltd*,-,-
Advances to related parties, considered good, comprise:,Concorde Motors (India) Limited,-,1
Advances to related parties, considered good, comprise:,Tata Projects Limited,33,-
