Material Topics-EnvironmentGRI302: Energy,Material Topics-EnvironmentGRI302: Energy,Material Topics-EnvironmentGRI302: Energy,Material Topics-EnvironmentGRI302: Energy,Material Topics-EnvironmentGRI302: Energy,
GRI103: ManagementApproach 2016,GRI103: ManagementApproach 2016,103-1 Explanation of the material topics and its boundaries,330,,
GRI103: ManagementApproach 2016,GRI103: ManagementApproach 2016,103-2 The management approach and its components,129,,
GRI103: ManagementApproach 2016,GRI103: ManagementApproach 2016,103-3 Evaluation of the management approach,129,,
GRI302:Energy 2016,GRI302:Energy 2016,302-1 Direct (Scope 1) GHG Emissions,128,,
GRI303:Water,GRI303:Water,,,,
GRI103: ManagementApproach 2016,GRI103: ManagementApproach 2016,103-1Explanation of the material topicsand its boundaries,330,,
GRI103: ManagementApproach 2016,GRI103: ManagementApproach 2016,103-2 The management approach and its components,130,,
GRI103: ManagementApproach 2016,GRI103: ManagementApproach 2016,103-3 Evaluation of the management approach,130,,
GRI303:Water 2016,GRI303:Water 2016,303-1Water withdrawal by source,130,,
GRI305:Emissions,GRI305:Emissions,,,,
GRI103: Management,GRI103: Management,103-1 Explanation of the material topics and its boundaries,330,,
Approach 2016,Approach 2016,103-2The management approach anditscomponents,128,,
Approach 2016,Approach 2016,103-3 Evaluation of the management approach,128,,
GRI 305: Emissions 2016,GRI 305: Emissions 2016,305-1 Direct (Scope 1) GHG Emissions,129,,
GRI Standard,GRI Standard,Disclosure,Page No.,Omission,
Material Topics-EnvironmentGRI306:EFFLUENTSANDWASTE,Material Topics-EnvironmentGRI306:EFFLUENTSANDWASTE,Material Topics-EnvironmentGRI306:EFFLUENTSANDWASTE,Material Topics-EnvironmentGRI306:EFFLUENTSANDWASTE,Material Topics-EnvironmentGRI306:EFFLUENTSANDWASTE,
GRI103: Management,GRI103: Management,103-1Explanation of the material topics and its boundaries,330,,
Approach 2016,Approach 2016,,103-2 The management approach andits components,103-2 The management approach andits components,
Approach 2016,Approach 2016,103-3 Evaluation of the management approach,130,,
GRI 305: Effluents andwaste 2016,GRI 305: Effluents andwaste 2016,306-1Water dischargeby qualityand destination,130,,
