Year ended,Mar 31,2020,Mar 31,2019
Proceeds from disposal of property, plant and equipment,161,99,
Interest received,"3,729","2,619",,
Dividend received,8,18,,
Net cash generated from investing activities,"8,565","1,596",,
Cash flows from financing activities,Buy-back of equity shares,-,"(16,000)",
Expenses for buy-back of equity shares,-,(45),,
Short-term borrowings (net),-,(181),,
Dividend paid (including tax on dividend),"37,634","(11,424)",,
Dividend paid to non-controlling interests (including tax on dividend),68,(48),,
Purchase of non-controlling interests,227,-,,
Repayment of lease liabilities,"1,062",(13),,
Interest paid,924,(186),,
Net cash used in financing activities,"39,915","(27,897)",,
Net change in cash and cash equivalents,"1,019","2,292",,
Cash and cash equivalents at the beginning of the year,"7,224","4,883",,
Exchange difference on translation of foreign currency cash and cash equivalents,403,49,,
Cash and cash equivalents at the end of the year (Refer note 8(c)),"8,646","7,224",,
