As at,As at,Considered good,Considered doubtful
"March 31, 2020",March 31,,
,"3,341","2,723",
,"1,381",344,
,4,35,
,396,468,
Advance to suppliers,75,79,3
Advance to related parties,11,8,
Indirect taxes recoverable,"1,131",962,2
Other advances,114,123,
Others,85,51,
Advance to suppliers,,3,了
Indirect taxes recoverable,,2,2
Other advances Less: Allowance on doubtful assets,,3 (8),了 (8)
,"6,538","4,793",
"Advance to related parties, considered good comprise:",,-,3
TCS e-Serve International Limited The Titan Company Limited,,7,1
Tata AIG General Insurance Company Limited,,1,
Tata AIA Life Insurance Company Limited,,,
Tata Sons Private Limited,,7,
