GRI Standard,Disclosure,Page No.,Omission
GRI101: Foundation 2016 (GRl101doesn't include any disclosures),GRI101: Foundation 2016 (GRl101doesn't include any disclosures),GRI101: Foundation 2016 (GRl101doesn't include any disclosures),GRI101: Foundation 2016 (GRl101doesn't include any disclosures)
General disclosures,General disclosures,General disclosures,General disclosures
Organizational Profile,Organizational Profile,Organizational Profile,Organizational Profile
GRI102: GeneralDisclosures 2016,102-1Name of the organization,1,
GRI102: GeneralDisclosures 2016,"102-2 Activities,brands,productsandservices",77,
GRI102: GeneralDisclosures 2016,102-3 Location of headquarters,328,
GRI102: GeneralDisclosures 2016,102-4 Location of operations,77,
GRI102: GeneralDisclosures 2016,102-5Ownershipand legal form,1,
GRI102: GeneralDisclosures 2016,102-6Markets served,77,
GRI102: GeneralDisclosures 2016,102-7 Scale of theorganization,1,
GRI102: GeneralDisclosures 2016,102-8 Information on employees and other workers,84,
GRI102: GeneralDisclosures 2016,102-9 Supply Chain,85,
GRI102: GeneralDisclosures 2016,102-10 Significant changes to the organization and its supply chain,328,
GRI102: GeneralDisclosures 2016,102-11 Precautionary principle orapproach,128,
GRI102: GeneralDisclosures 2016,102-12 External initiatives,80,
GRI102: GeneralDisclosures 2016,102-13Membershipof associations,329,
Strategy,,,
GRI 102: GeneralDisclosures 2016,102-14 Statement from senior decision maker,7,
Ethics and Integrity,Ethics and Integrity,,
GRI102: GeneralDisclosures 2016,"102-16 Values,principles,standards,and norms of behavior",133,
Governance,,,
GRI 102: GeneralDisclosures 2016,102-18 Governance structure,132,
Stakeholder Engagement,,,
GRI 102: GeneralDisclosures 2016,102-40 List of stakeholder groups,329,
GRI 102: GeneralDisclosures 2016,102-41 Collective bargaining agreements,86,
GRI 102: GeneralDisclosures 2016,102-42 Identifying and selecting stakeholders,329,
GRI 102: GeneralDisclosures 2016,102-43 Approach to stakeholder engagement,329,
GRI 102: GeneralDisclosures 2016,102-44 Key topics and concerns raised,330,
Reporting Practice,Reporting Practice,,
GRI 102: GeneralDisclosures 2016,102-45 Entities included in the consolidated financial statements,"59,328",
GRI 102: GeneralDisclosures 2016,102-46 Defining report content and topic boundaries,"328,330",
GRI 102: GeneralDisclosures 2016,102-47 List of material topics,330,
GRI 102: GeneralDisclosures 2016,102-48 Restatements of information,328,
GRI 102: GeneralDisclosures 2016,102-49 Changes in reporting,328,
GRI 102: GeneralDisclosures 2016,102-50Reportingperiod,,
GRI 102: GeneralDisclosures 2016,102-51 Date of most recent report,,
