ID,Company Name,Parent ID,Subsidiary
1,APTOnline Limited,17,TCS FNS Pty Limited
2,C-Edge Technologies Limited,18,TCS Foundation
3,"CMC Americas, Inc.",19,TCS Iberoamerica SA
4,Diligenta Limited,20,PT Tata Consultancy Services Indonesia
5,MahaOnline Limited,21,"Tata Consultancy Services (China) Co., Ltd."
6,MP Online Limited,22,Tata Consultancy Services (Philippines) Inc.
7,Tata America International Corporation,23,Tata Consultancy Services (Thailand) Limited
8,Tata Consultancy Services (Africa) (PTY) Ltd.,24,"Tata Consultancy Services Japan, Ltd."
9,Tata Consultancy Services Asia Pacific Pte Ltd.,25,Tata Consultancy Services Malaysia Sdn Bhd
10,Tata Consultancy Services Belgium,26,TCS Italia s.r.l.
11,Tata Consultancy Services Canada Inc.,27,Tata Consultancy Services (South Africa) (PTY) Ltd.
12,Tata Consultancy Services Deutschland GmbH,28,"TCS e-Serve America, Inc."
13,Tata Consultancy Services Netherlands BV,29,Tata Consultancy Services Chile S.A.
14,Tata Consultancy Services Qatar S.S.C.,30,TATASOLUTION CENTER S.A.
15,Tata Consultancy Services Sverige AB,31,Technology Outsourcing S.A.C.
16,TCS e-Serve International Limited,32,"Tata Consultancy Services (Portugal) Unipessoal, Limitada"
