Reserves and surplus,Reserves and surplus,Reserves and surplus,Reserves and surplus,Reserves and surplus,Reserves and surplus,Items of other comprehensive income Foreign,Items of other comprehensive income Foreign,Items of other comprehensive income Foreign,Items of other comprehensive income Foreign,Equity attributable to shareholders of the Company,Non- controlling interests,,Total equity,,,
Capital reserve,Capital redemption reserve,General reserve,Special Economic Zone re-investment,Retained earnings,Statutory reserve,Investment revaluation reserve,Cash flow hedging reserve currency Intrinsic Time translation,Cash flow hedging reserve currency Intrinsic Time translation,,,,,,,,
75,529,"1,423","reserve 1,578","79,755",258,(84),value (2),value (69),reserve,Equity attributable to shareholders of the Company,Non- controlling interests,,Total equity,"84,937",402,"85,339"
-,-,-,,"31,472",-,-,-,-,"1,474 -","31,472",90,"31,562",,,,
-,-,-,=,(41),-,275,136,39,(94),315,9,324,,,,
,,-,,"31,431",-,275,136,39,(94),"31,787",99,"31,886",,,,
,-,-,,"(11,424)",-,-,-,-,-,"(11,424)",(48),"(11,472)",,,,
,8,-,,"(16,000)",-,-,-,-,-,"(15,992)",,"(15,992)",,,,
-,-,-,,(45),-,-,-,,-,(45),,(45),,,,
,(106),-,,(86),-,-,,-,-,(192),-,(192),,,,
-,-,-,,(1),,1,-,-,-,-,-,-,,,,
,-,,"2,750","(2,750)",-,-,-,,-,-,-,,,,,
,-,-,"(3,334)","3,334",-,-,,,-,-,-,,,,,
-,-,"(1,396)",-,"1,306",90,,-,-,-,-,,,,,,
75,431,27,994,"85,520",348,192,134,(30),1.380,"89,071",453,"89,524",,,,
