,"Asat March 31, 2020","As at March 31, 2019"
Considered good,,
Contract assets,"3,341","2,723"
Prepaid expenses,"1,381",344
Prepaid rent,4,35
Contract fulfillment costs,396,468
Advance to suppliers,75,79
Advance to related parties,11,8
Indirect taxes recoverable,"1,131",962
Other advances,114,123
Others,85,51
Considered doubtful,,
Advance to suppliers,3,了
Indirect taxes recoverable,2,2
Other advances Less: Allowance on doubtful assets,3 (8),了 (8)
,"6,538","4,793"
"Advance to related parties,considered good comprise:",,
TCS e-Serve International Limited The Titan Company Limited,,7
,3,1
Tata AlG General Insurance Company,,1
Limited,,
Tata AlA Life Insurance Company Limited,,
Tata Sons Private Limited,7,
