"Property, plant and equipment consist of the following:",,,,
(₹ crore),,,,
Freehold land Buildings Leasehold improvements Plant and equipment Computer equipment Vehicles Office equipment Electrical installations Furniture and fixtures Total,,,,
Cost as at April,,,"1,",2019
"323 7,348 1,820 539 6,273 36","2,164","1,802","1,420","21,725"
Transition impact of Ind AS 116 (Refer note,,,,7)
- - (61) - - -,-,-,-,(61)
Restated cost as at April,,,"1,",2019
"323 7,348 1,759 539 6,273 36","2,164","1,802","1,420","21,664"
Additions,,,,
"- 287 188 128 1,190 5",174,98,130,"2,200"
Disposals,,,,
- (7) - (123) - (190) (2),(75),(18),(40),(455)
Cost as at March,,,"31,",2020
"323 7,628 1,824 667 7,273 39","2,263","1,882","1,510","23,409"
Accumulated depreciation as at April,,,"1,",2019
"- (2,150) (1,010) (166) (4,975) (29)","(1,740)","(1,029)","(1,104)","(12,203)"
Transition impact of Ind AS 116 (Refer note,,,,7)
- - 36 - - -,-,-,-,36
Restated accumulated depreciation as at April,,,"1,",2019
"- (2,150) (974) (166) (4,975) (29)","(1,740)","(1,029)","(1,104)","(12,167)"
Depreciation for the year,,,,
- (374) (115) (58) (750) (5),(203),(140),(137),"(1,782)"
Disposals,,,,
- 6 47 - 189 2,75,17,39,375
Accumulated depreciation as at March,,,"31,",2020
"- (2,518) (1,042) (224) (5,536) (32)","(1,868)","(1,152)","(1,202)","(13,574)"
Net carrying amount as at March,,,"31,",2020
"323 5,110 782 443 1,737 7",395,730,308,"9,835"
