Number of shares,Holding,Percentage to capital,Number of accounts,Percentage to total accounts
1 - 100,"20,115,961",0.5,665,"322,74.5"
101 - 500,"38,477,212",1.1,189,"237,21.2"
501 - 1000,"15,092,620",0.4,21,"036,2.3"
1001 - 5000,"27,630,749",0.7,14,"188,1.6"
5001 - 10000,"9,258,207",0.3,1,"304,0.2"
10001 - 20000,"9,076,541",0.2,637,-
20001 - 30000,"6,327,283",0.2,258,-
30001 - 40000,"4,943,531",0.1,142,-
40001 - 50000,"4,314,857",0.1,95,-
50001 -100000,"23,478,095",0.6,325,-
100001 - above,"3,593,669,650",95.8,902,0.1
GRAND TOTAL,"3,752,384,706",100.0,893,"446,100.0"
