Name of theDirector,Category,Number ofBoard Meetings,Whetherattended last,Number ofDirectorships,Number ofDirectorships,Number ofCommittee positions,Number ofCommittee positions,Directorship in otherlisted entity(Category of Directorship)
Name of theDirector,Category,attended during theFY 2020,"AGM held onJune 13, 2019",in other Public Companies,in other Public Companies,held in other PublicCompanies,held in other PublicCompanies,Directorship in otherlisted entity(Category of Directorship)
Name of theDirector,Category,attended during theFY 2020,"AGM held onJune 13, 2019",Chairman,Member,Chairman,Member,Directorship in otherlisted entity(Category of Directorship)
N Chandrasekaran(Chairman)DIN 00121863,"Non-Independent,Non-Executive",7,Yes,5,,,,"Tata Steel Limited (Non-Independent, Non-Executive)2.Tata Motors Limited (Non-Independent, Non-Executive)3.Tata Consumer Products Limited (Formerly known as TataGlobal Beverages Limited) (Non-Independent, Non-Executive)4.The Tata Power Company Limited (Non-Independent,Non-Executive)5.The Indian Hotels Company Limited (Non-Independent,Non-Executive)"
Rajesh Gopinathan(Chief ExecutiveOfficer andManaging Director)DIN 06365813,"Non-Independent,Executive",7,Yes,,,,,
N GanapathySubramaniam(Chief OperatingOfficer andExecutive Director)DIN 07006215,"Non-Independent,Executive",7,Yes,1,,-,-,"Tata Elxsi Limited (Non-Independent, Non-Executive)"
Aman Mehta*DIN 00009364,"Independent,Non-Executive",2,Yes,N.A.,N.A.,N.A.,N.A.,N.A.
Dr Ron Sommer*DIN 00621387,"Independent,Non-Executive",2,Yes,N.A.,N.A.,N.A.,N.A.,N.A.
O P Bhatt**DIN 00548091,"Independent,Non-Executive",7,Yes,,4,2,4,"Hindustan Unilever Limited (Independent, Non- Executive)2.Tata Steel Limited (Independent, Non- Executive)3.Tata Motors Limited (Independent, Non- Executive)4.Aadhar Housing Finance Limited (Debt Listed)(Independent,Non-Executive)"
Aarthi SubramanianDIN 07121802,"Non-Independent,Non-Executive",7,Yes,,5,1,1,"Tata Capital Limited (Debt Listed) (Non-Independent,Non-Executive)"
Dr Pradeep KumarKhoslaDIN 03611983,"Independent,Non-Executive",7,Yes,,-,,-,
Hanne SorensenDIN 08035439,"Independent,Non-Executive",7,Yes,-,1,-,2,"Tata Motors Limited (Independent, Non-Executive)"
Keki MistryDIN 00008886,"Independent,Non-Executive",6,Yes,,6,2,6,"Housing Development Finance Corporation Limited(Executive Director)2.Torrent Power Limited (Independent, Non- Executive)HDFC Life Insurance Company Limited(Nominee, Non-Executive)4.HDFC Asset Management Company Limited(Non-Independent,Non-Executive)"
Don CallahanDIN 08326836,"Independent,Non-Executive",7,Yes,,,,,
