(（crore),(（crore),(（crore)
,"Yearended March 31,2020","Yearended March31,2019"
CASH FLOWS FROM OPERATING ACTIVITIES Profit for the year,"33,260","30,065"
Adjustments to reconcile profit and loss to net cash provided by operating activities,,
Depreciation and amortisation expense,"2,701","1,716"
"Bad debts and advances written off,allowance for doubtful trade receivables and advances (net)",132,188
Tax expense,"8,731","10,640"
Net gain on lease modification,(4),-
Unrealised foreign exchange (gain)/loss,(130),7
"Net gain on disposal of property, plant and equipment",(50),(84)
Net gain on investments,(197),(416)
Interest income,"(3,197)","(2,651)"
Dividend income (Including exchange gain),"(3,995)","(3,574)"
Finance costs,743,170
Operating profit before working capital changes Net change in,"37,994","36,061"
Inventories,5,
Trade receivables,"(4,736)",16
Unbilled receivables,(311),"(5,335)"
Loans receivables and other financial assets,,733
,(72),(417)
Other assets,"(3,072)","(3,036)"
Trade payables,"1,042","2,915"
Unearned and deferred revenue,449,755
Other financial liabilities,"1,183",610
Other liabilities and provisions,487,400
Cash generated from operations,"32,969","32,702"
Taxes paid (net of refunds),"(6,366)","(8,704)"
Net cash generated from operating activities,"26,603","23,998"
CASHFLOWSFROM INVESTING ACTIVITIES,,
Bank deposits placed,"(6,999)","(5,690)"
Inter-corporate deposits placed,"(13,694)","(13,222)"
Purchase of investments,"(77,191)","(92,020)"
"Payment for purchase of property,plant and equipment","(1,951)","(1,556)"
Payment including advances for acquiring right-of-use assets,(519),-
