Note,"As at March 31, 2020","As at March 31, 2019"
Inventories,10(e),5
Financial assets,,
Investments,8(a),"26,140"
Trade receivables,8(b),"30,532"
Unbilled receivables,,"5,732"
Cash and cash equivalents,8(c),"8,646"
Other balances with banks,8(d),"1,020"
Loans receivables,8(e),"8,475"
Other financial assets,8(f),8
Income tax assets (net),,8
Other assets,10(d),"90,237"
Total current assets,,"90,237"
TOTAL ASSETS,,"120,899"
EQUITY AND LIABILITIES,,
Equity,,
Share capital,8(l),375
Other equity,11,"83,751"
Equity attributable to shareholders of the Company,,"84,126"
Non-controlling interests,,"623,453"
Total equity,,"84,749"
