Opening balance,Recognised in profit and loss,Recognised in / reclassified from other comprehensive income,Exchange difference,Closing balance
"Deferred tax assets / (liabilities) in relation to Property, plant and equipment and intangible assets",95,50,-,"-,145"
Provision for employee benefits,531,101,5,"17,654"
Cash flow hedges,-12,-,19,"-,7"
Receivables, financial assets at amortised cost,340,46,"-,2,388"
MAT credit entitlement,1170,-96,-,"-,1074"
Branch profit tax,-299,15,-,"-,-284"
Undistributed earnings of subsidiaries,-574,288,-,"-,-286"
Unrealised gain on securities carried at fair value through profit or loss / other comprehensive income,-149,-1,-334,"-,-484"
Lease liabilities*,264,80,-,"1,345"
Others,418,94,-,"-,490"
Total deferred tax assets / (liabilities),1784,577,-310,"-2,2049"
