"Year ended March 31, 2019",(Baht)
"Banking,","Manufacturing,Retail and,Communication,,Others,Total"
Financial,"Services and,Consumer,Media and"
Services and,"Insurance,Business,Technology"
Revenue,"57,938,15,682,25,164,23,925,23,754,146,463"
Segment result,"16,089,4,311,6,871,6,644,5,554,39,469"
Total unallocable,"2,217"
expenses,
Operating,"income,37,252"
income,
Other income,"4,311"
Profit before tax,"41,563"
Tax expense,"10,001"
Profit for the,"31,562"
year,
Depreciation,"35,-,-,-,2,37"
and amortisation,
expense,
Depreciation,"2,019"
and amortisation,
expense,
(unallocable),
Significant,"6,3,27,27,124,187"
non-cash items,
(allocable),
