As at,As at,"March 31, 2020","March 31, 2019"
Revenue,Tata Consultancy Services Sverige AB,"1,713","1,657"
Revenue,Tata Consultancy Services Canada Inc.,"1,934","1,919"
Revenue,Tata Consultancy Services Deutschland GmbH,"2,020","1,924"
Revenue,Tata Consultancy Services Netherlands BV,"3,364","2,449"
Revenue,Jaguar Land Rover Limited,"1,142","651,"
Revenue,Jaguar Cars Limited (dormant),9,"671,"
Purchases of goods and services (including reimbursements),Tata America International Corporation,"3,416","3,898"
Purchases of goods and services (including reimbursements),"Tata Consultancy Services De Mexico S.A.,De C.V.","1,414","1,314"
Purchases of goods and services (including reimbursements),TCS Foundation,552,"91,"
Dividend income,Tata America International Corporation,"1,752",
Dividend income,Tata Consultancy Services Canada Inc.,694,"236,"
