"Year ended March 31, 2020","Year ended March 31, 2020","Year ended March 31, 2020","Year ended March 31, 2020","Year ended March 31, 2020","Yearended March31,2019","Yearended March31,2019","Yearended March31,2019","Yearended March31,2019","Yearended March31,2019"
Domestic plans Funded,Domestic plans Unfunded,Foreign plans Funded,Foreign plans Unfunded,Total,Domestic plans Funded,Domestic plans Unfunded,Foreign plans Funded,Foreign plans Unfunded,Total
"2,679",4,629,120,"3,432","2,308",了,626,103,"3,040"
,,55,5,60,-,,,,
30,,·,,30,-,- -,(5) -,1,(4) -
■,,,,,,,,,
358,1,9 16,· 22,9 397,- 289,- 1,9 14,- 19,9
222,■,11,5,238,190,,9,4,323 203
520,4,43,2,569,39,-,25,(2),62
,,,1,1,-,=,,,
(171),(1),(10),(10),(192),(147),,(35) (14),1 (6),(34) (167)
"3,638",8,753,145,"4,544","2,679",4,629,120,"3,432"
