Reserves and surplus,Reserves and surplus,Reserves and surplus,Reserves and surplus,Items of other comprehensive income,Items of other comprehensive income,Items of other comprehensive income,Total equity,
Capital reserve,Capital redemption reserve,Special Economic Zone re-investment reserve,Retained earnings,Investment revaluation reserve,Cash flow hedging reserve,,Total equity,
,8,994,"77,159",258,Intrinsic value 134,Time value,Total equity,"78,523"
,■,·,(330),·,,(30) ·,(330),
,8,994,"76,829",258,· 134,(30),"78,193",
,,■,"33,260",,,,,
,,■,(323),· 624,· (89),·,"33,260 174",
,,·,"32,937",624,(89),(38),"33,434",
,,,"(37,634)",·,·,(38),,
,,"2,947","(2,947)",,,,"(37,634)",
,,"(2,347)","2,347",·,·,,,
,8,"1,594","71,532",882,45,(68),"73,993",
