Sr.,Particulars of Remuneration,Sitting Fees for attendingboard/committee meetings,Commission,"Others, please specify",Total Amount
1.,Independent Directors,,,,
,Aman Mehta*,1.80,60.00,,61.80
,Dr. Ron Sommer*,1.80,60.00,-,61.80
,OP Bhatt**,6.90,200.00,-,206.90
,Dr.PradeepKumar Khosla,5.10,140.00,-,145.10
,Hanne Sorensen,4.80,140.00,,144.80
,Keki Mistry,5.10,140.00,,145.10
,Don Callahan,5.10,140.00,-,145.10
,Total (1),30.60,880.00,,910.60
2.,Other Non-Executive Directors,,,,
,N Chandrasekaran@,4.20,,-,4.20
,Aarthi Subramanian@@,5.40,-,-,5.40
,Total (2),9.60,-,■,9.60
,Total (B)=(1+2),40.20,880.00,,920.20
,Total Managerial Remuneration,,,,
,"Ceiling as per the Act (@1% of profits calculated under Section 198 of the CompaniesAct,2013)",,"42,070.19",,
