Financial Year,Date of declaration,Last date for claiming unpaid dividend
2012-13,"June 28, 2013","July 28, 2020"
2013-14,"July 18, 2013","August 18, 2020"
,"October 15, 2013","November 14, 2020"
,"January 16, 2014","February 16, 2021"
,"June 27, 2014","July 27, 2021"
2014-15,"July 17, 2014","August 18, 2021"
,"October 16, 2014","November 16, 2021"
,"January 15, 2015","February 15, 2022"
,"June 30, 2015","July 30, 2022"
2015-16,"July 9, 2015","August 9, 2022"
,"October 13, 2015","November 12, 2022"
,"January 12, 2016","February 11, 2023"
,"June 17, 2016","July 17, 2023"
2016-17,"July 14, 2016","August 15, 2023"
,"October 13, 2016","November 16, 2023"
,"January 12, 2017","February 12, 2024"
,"June 16, 2017","July 16, 2024"
