,(crore),(crore)
,"Note Year ended March 31,202","Year ended March 31,2019"
Items that willbe reclassified subsequently to profit or loss,,
Net change in fair values of investments other than equity shares carried at fair value through OCl,958,425
Net change in intrinsic value of derivatives designated as cash flow hedges,(94),153
Net change in time value of derivatives designated as cash flow hedges,(52),44
Income tax on items that will be reclassified,(315),(171)
subsequently to profit or loss TOTAL OTHER COMPREHENSIVE INCOME/(LOSSES),174,
TOTAL COMPREHENSIVE INCOMEFORTHEYEAR,"33,434","436 30,501"
Earnings per equity share:- Basic and diluted () 16,88.64,79.34
Weighted average number of equity shares,"375,23,84,706",
,,"378,97,49,350"
