As at,As at,Mar 31,2020,Mar 31,2019
Considered good,Contract assets,197,190,,
Considered good,Prepaid expenses,839,351,,
Considered good,Prepaid rent,-,339,,
Considered good,Contract fulfillment costs,286,174,,
Considered good,Capital advances,55,276,,
Considered good,Advances to related parties,36,3,,
Considered good,Others,298,30,,
Considered good,1,711,1,363,
Advances to related parties,considered good,comprise:,Voltas Limited,3,2
Advances to related parties,considered good,comprise:,Tata Realty and Infrastructure Ltd*,-,-
Advances to related parties,considered good,comprise:,Concorde Motors (India) Limited,-,1
Advances to related parties,considered good,comprise:,Tata Projects Limited,33,-
