Deferred tax assets / (liabilities) in relation to,Opening Recognised balance in profit and loss,Recognised in/reclassified from other comprehensive income,,Closing balance
Deferred tax assets / (liabilities) in relation to,67,30,,97
"Property, plant and equipment and intangible assets Provision for employee benefits",311,57,-,368
Cash flow hedges,10,",",(22),(12)
"Receivables, financial assets at",238,46,-,284
amortised cost MAT credit entitlement,"2,204",,,"1,157"
Branch profit tax,(400),"(1,047) 101",-,(299)
Unrealised gain on securities carried at fair value through,,-,(149),(149)
profit or loss/other comprehensive income,,,,
Lease liabilities,80,8,,88
Others,117,108,=,225
Total deferred taxassets/ (liabilities),"2,626",(697),(171),"1,758"
