SM0,Name ofthe subsidiary company,Date of becomingsubsidiary,Start date ofaccountingperiod ofsubsidiary,Enddate ofaccounting period ofsubsidiary,Reportingcurrency,Exchangerate,Sharecapital,Reservesandsurplus,TotalAssets,TotalLiabilities,Investments,Turnover,Profitbeforetax,Provisionfortax,Profitafter tax,Proposeddividend,%ofshareholding,Country
SM0,Name ofthe subsidiary company,Date of becomingsubsidiary,Start date ofaccountingperiod ofsubsidiary,Enddate ofaccounting period ofsubsidiary,Reportingcurrency,Exchangerate,,,,crore,crore,crore,crore,crore,crore,crore,%ofshareholding,Country
17,Tata Consultancy Services (Thailand) Limited,"May 12,2008","April 1,2019","March 31,2020",THB,2.306916,,10,30,18,,73,16,3,13,,100%,Thailand
18,Tata Consultancy Services Belgium,"August 9,2004","April1,2019","March 31,2020",EUR,83.023789,2,331,964,631,,"1,998",144,49,95,,100%,Begium
19,Tata Consultancy Services Deutschland GmbH,"August 9, 2004",Apri 1，2019,"March 31,2020",EUR,83.023789,,469,2.003,"1,533",,4.844,281,83,198,,100%,Germany
20,Tata Consultancy Services Sverige AB,"August 9,2004",Apri 1，2019,"March 31,2020",SEK,7.477993,,539,1.495,956,,"3,279",100,22,78,,100%,Sweden
21,Tata Consultancy Services Netherlands BV,"August 9,2004","April1,2019","March 31,2020",EUR,83.023789,548,2.202,"4,176",1.426,1.592,5.340,(373),79,(452),,100%,Netherlands
22,TCS Italia s.r.l.,"August 9,2004","April 1,2019","March 31,2020",EUR,83.023789,18,12,266,236,,440,19,1,8,,100%,Italy
23,Tata Consultancy Services Luxembourg S.A.,"October 28,2005","April1,2019","March 31,2020",EUR,83.023789,46,75,263,142,,519,76,22,54,,100%,Capellen (G.D. deLuxembourg)
24,Tata ConsultancyServices SwitzerlandLtd.,"October 31,2006",April1]，2019,"March 31,2020",CHF,78.406611,12,379,1.171,780,,"2,776",217,39,178,,100%,Switzerland
25,Tata Consultancy Services OsterreichGbH,"March 9,2012","April1,2019","March 31,2020",EUR,83.023789,,5,38,33,,39,,,,,100%,Austria
26,Tata Consultancy Services Danmark ApS,"March 16, 2012",Aprl 1 2019,"March 31,2020",DKK,11743,,4,25,20,,35,,,,,100%,Denmark
27,Tata Consultancy Services De Espana S.A.,"August 9,2004","April 1,2019","March 31,2020",EUR,83.023789,,39,197,158,,384,12,,12,,100%,Spain
28,TataConsultacyrvics orgal)ipeo,"July 4,2005","April 1,2019","March 31,2020",EUR,83.023789,,,22,22,,24,,,,,100%,Portugal
29,Tata Consultancy Services France SA,"June 28,2013",Aprl 1 2019,"March 31,2020",EUR,83.023789,4,(408),1.335,1.739,,1.936,16,17,(),,100%,France
30,Tata ConsultancyServices Saudi Arabia,"July 2,，2015",April 1，2019,"March 31,200",SAR,20.049702,8,242,299,49,,390,76,15,61,,76%,Saudi Arabia
31,Tata Consultancy Services (Africa)(PTY)Ltd.,"October 23,2007","April1,2019","March 31,2020",ZAR,4.193326,6,39,45,,45,,28,,28,,100%,South Africa
