Reserves and surplus,Items of other comprehensive income,Equity attributable to shareholders of the Company,Non-controlling interests,Total equity
Capital reserve,,,Special Economic Zone re-investment reserve,"Retained earnings,Statutory reserve,Investment revaluation reserve,Cash flow hedging reserve,Foreign currency translation reserve,Intrinsic value,Time value,Equity attributable to shareholders of the Company,Non-controlling interests,Total equity"
75,,,"1,578","79,755,258,-84,-,-,-,-,84,937,402,85,339"
,,,,"31,472,,275,136,39,-,-,31,472,90,31,562"
,,,,"(41),,-,-,-,-,-,315,9,324"
,,,,"31,431,,275,136,39,-,-,31,787,99,31,886"
,,,,"(11,424),,-,-,-,-,-,(11,424),(48),(11,472)"
,8,,,"(16,000),,-,-,-,-,-,(15,992),-,(15,992)"
,,,,"(45),,-,-,-,-,-,(45),-,(45)"
(106),,,,"(86),,-,-,-,-,-,(192),-,(192)"
,,,,"1,,-,-,-,-,-,-,-"
,,,,"2,750,(2,750),-,-,-,-,-,-,-,-"
,,,,"(3,334),3,334,-,-,-,-,-,-,-,-"
,,,,"1,306,90,-,-,-,-,-,-,-,-"
75,431,"27,994",,"85,520,348,192,134,1,380,(30),,89,071,453,89,524"
