Note,"As at March 31, 2020","As at March 31, 2019"
"Property, plant and equipment,",8(a),9835
"Capital work-in-progress,",8(a),781
"Right-of-use assets,",7,6048
"Intangible assets,",8(b),239
"Financial assets,",,
"Investments,",6(a),2189
"Trade receivables,",6(b),74
"Unbilled receivables,",,324
"Loans receivables,",6(e),2
"Other financial assets,",6(f),624
"Income tax assets (net),",,2020
"Deferred tax assets (net),",15,2219
"Other assets,",8(c),1426
"Total non-current assets,",15,25781
