Financial Year,Date of declaration,Last date for claiming unpaiddividend
2012-13,"June 28,2013","July 28,2020"
2013-14,"July 18,2013","August 18, 2020"
2013-14,"October 15, 2013","November14,2020"
2013-14,"January 16,2014","February 16,2021"
2013-14,"June 27,2014","July 27,2021"
2014-15,"July 17,2014","August 18, 2021"
2014-15,"October 16,2014","November 16,2021"
2014-15,"January 15, 2015","February 15,2022"
2014-15,"June 30,2015","July 30,2022"
2015-16,"July 9,2015","August 9,2022"
2015-16,"October 13,2015","November 12,2022"
2015-16,"January 12, 2016","February 11,2023"
2015-16,"June 17, 2016","July 17,2023"
2016-17,"July 14,2016","August 15,2023"
2016-17,"October 13,2016","November 16,2023"
2016-17,"January 12,2017","February 12, 2024"
2016-17,"June 16,2017","July 16,2024"
2017-18,"July 13,2017","August 13, 2024"
2017-18,"October 12,2017","November 12, 2024"
2017-18,"January 11, 2018","February 10,2025"
2017-18,"June 15,2018","July 15,2025"
2018-19,"July 10,2018","August 9,2025"
2018-19,"October 11, 2018","November 10,2025"
2018-19,"January 10,2019","February9,2026"
2018-19,"June 17, 2019","July 13,2026"
2019-20,"July 9,2019","August 8,2026"
2019-20,"October 10,2019","November 9,2026"
2019-20,"January 17, 2020","February 16,2027"
2019-20,"March 10,2020","April 9,2027"
