As at,As at,As at,As at
"March 31, 2020","March 31, 2020","March 31, 2019","March 31, 2019"
Investments designated at fair value through OCI,ocI Fully paid equity shares (unquoted),,
Fully paid equity shares (unquoted),,,
Mozido LLC,75,69,75
FCM LLC,55,52,55
Taj Air Limited,19,19,19
Philippine Dealing System Holdings,7,6,6
Corporation,,,
Less: Impairment in value of investments,(114),(88),(114)
Investments carried at amortised cost,,,
Government bonds and securities (quoted),164,165,164
Corporate bonds and securities (quoted),10 216,16 239,10
