Note,"As at March 31,2020","As at March 31,2019"
Non-current assets,"Property, plant and equipment",10(a)
Non-current assets,Capital work-in-progress,906
Non-current assets,Right-of-use assets,9
Non-current assets,Goodwill,10(b)
Non-current assets,Other intangible assets,10(c)
Non-current assets,Financial assets,Investments
Non-current assets,Financial assets,Trade receivables
Non-current assets,Financial assets,Unbilled receivables
Non-current assets,Financial assets,Loans receivables
Non-current assets,Financial assets,Other financial assets
Non-current assets,Income tax assets (net),2
Non-current assets,Deferred tax assets (net),17
Non-current assets,Other assets,10(d)
Total non-current assets,,"30,662"
