Name of the Committee,AuditCommittee,Nominationand RemunerationCommittee,Stakeholders'RelationshipCommittee,Corporate SocialResponsibilityCommittee,Risk ManagementCommittee
No. of meetings held →,7,了,2,4,4
Date of meetings,"April 12, 2019;June 13, 2019;July 9, 2019;August 13, 2019;October 10, 2019;January 17, 2020 andFebruary 13, 2020","April 12, 2019;","July 9, 2019 and","April 11, 2019;","April 4, 2019; June 13,2019;October 9, 2019 andJanuary 16, 2020"
Date of meetings,"April 12, 2019;June 13, 2019;July 9, 2019;August 13, 2019;October 10, 2019;January 17, 2020 andFebruary 13, 2020","January 17, 2020 andFebruary 13,2020","January 16, 2020","July 16, 2019;October 25,2019 and February 11, 2020 @","April 4, 2019; June 13,2019;October 9, 2019 andJanuary 16, 2020"
,,No. of meetings attended,No. of meetings attended,,
Name of Member,,,,,
N Chandrasekaran,,了,,4,
Rajesh Gopinathan*,-,-,2,1,4
Aman Mehta**,2,1,,,
Dr Ron Sommer***,2,,,,
O P Bhatt^,7,了,,4,1
N Ganapathy Subramaniam^^,1,1,,了,了
Aarthi Subramanian^^^,7,2,,1,1
Dr Pradeep Kumar Khosla,7,-,2,=,
Hanne Sorensen#,6,2,-,,
Keki Mistry##,6,,2,,3
Don Callahan#,6,,-,,了
Date of meetings →,"April 12,2019;June 13, 2019; July 9,2019;August 13, 2019;October 10, 2019;January 17, 2020 andFebruary 13,2020","April 12, 2019;January 17, 2020 andFebruary 13, 2020","July 9, 2019 and January 16, 2020","April 11, 2019; July 16, 2019;October 25, 2019 andFebruary 11, 2020 @","April 4,2019;June 13, 2019;October 9,2019 and January 16,2020"
,,No. of meetings attended,attended.,,
Ramakrishnan V,,,,,4
Whether quorum was present forall the meetings,The necessary quorum was present for allthe above committee meetings.,The necessary quorum was present for allthe above committee meetings.,The necessary quorum was present for allthe above committee meetings.,The necessary quorum was present for allthe above committee meetings.,The necessary quorum was present for allthe above committee meetings.
