Note,Year ended March 31,2020,Year ended March 31,2019
Revenue,10,131,306,"123,170"
Other income,11,8,082,"7,627"
TOTAL INCOME,,139,388,"130,797"
Expenses,,,,
Employee benefit expenses,12,64,906,"59,377"
Cost of equipment and software licences,13(a),1,596,"2,003"
Depreciation and amortisation expense,,2,701,"1,716"
Other expenses,13(b),27,451,"26,826"
Finance costs,14,743,170,
TOTAL EXPENSES,,97,397,"90,092"
PROFIT BEFORE TAX,,41,991,"40,705"
Tax expense,,,,
Current tax,15,9,012,"9,943"
Deferred tax,15,-281,697,
TOTAL TAX EXPENSE,,8,731,"10,640"
PROFIT FOR THE YEAR,,33,260,"30,065"
OTHER COMPREHENSIVE INCOME (OCI),,,,
Items that will not be reclassified subsequently to profit or loss,,,,
Remeasurement of defined employee benefit plans,,,-409,-17
Net change in fair values of investments in equity shares carried at fair value through OCI,,,-,-1
Income tax on items that will not be reclassified subsequently to profit or loss,,,-86,3
