"Year ended March 31, 2019",Tata Sons Private Limited,Subsidiaries of the Company,Subsidiaries of Tata Sons Private Limited,Associates / joint ventures of Tata Sons Private Limited and their subsidiaries,Other related parties,Total
Revenue,27,"15,999",266,"2,215",-,"18,507"
Dividend income,-,"3,571",-,-,-,"3,571"
Rent income,-,7,-,-,-,7
Other income,-,38,-,-,-,38
Purchases of goods and services (including reimbursements),1,"8,178",415,369,-,"8,963"
Brand equity contribution,101,-,-,-,-,101
Facility expense,1,-,37,15,-,53
"Bad debts and advances written off, allowance for doubtful trade receivables and advances (net)",-,-7,-,-,-,-7
Contribution and advance to post employment benefit plans,-,-,-,-,816,816
"Purchase of property, plant and equipment",-,-,2,48,-,50
Loans and advances given,-,6,2,1,-,9
Loans and advances recovered,-,1,-,3,-,4
Dividend paid,"7,254",-,3,-,-,"7,257"
Guarantees given,-,13,-,-,-,13
Buy-back of shares,"10,455",-,4,-,-,"10,459"
Cost recovery,-,"2,302",-,-,-,"2,302"
Issue of bonus shares,-,-,-,-,-,
