In numbers,Currency,Face value per share,Investment in subsidiaries,"As at March 31,2020","As at March 31, 2019"
"1,000",SEK,,100 Tata Consultancy Services Sverige AB,19,19
1,EUR,,- Tata Consultancy Services Deutschland,2,2
"20,000",USD,,GmbH 10 Tata America International,453,453
"75,82,820",SGD,,Corporation 1 Tata Consultancy Services Asia Pacific,19,19
"3,72,58,815",AUD,,Pte Ltd. 1 TCS FNS Pty Limited,212,212
"10,00,001 1,000",GBP,,1 Diligenta Limited,429,429
,USD,,- Tata Consultancy Services Canada,,1
100,CAD,,"Inc.* 70,653.61 Tata Consultancy Services Canada Inc.",31,31
"51,00,000",INR,,10 C-Edge Technologies Limited,5,5
"8,90,000",INR,,10 MP Online Limited,1,1
"1,40,00,000",ZAR,,1 Tata Consultancy Services (Africa),66,66
"18,89,005 -",INR QAR,,(PTY) Ltd. 10 MahaOnline Limited - Tata Consultancy,2 2,2 2
