Material Topics - SocialGRI 401: Employment,Material Topics - SocialGRI 401: Employment,Material Topics - SocialGRI 401: Employment,Material Topics - SocialGRI 401: Employment,Material Topics - SocialGRI 401: Employment,Material Topics - SocialGRI 401: Employment
GRI103: ManagementApproach 2016,GRI103: ManagementApproach 2016,103-1Explanation of the material topicsand its boundaries,330,,
GRI103: ManagementApproach 2016,GRI103: ManagementApproach 2016,103-2 The management approach andits components,83,,
GRI103: ManagementApproach 2016,GRI103: ManagementApproach 2016,103-3 Evaluation of the management approach,83,,
GRI103: ManagementApproach 2016,GRI103: ManagementApproach 2016,401-3 Parental Leave,86,,
GRI 402: Labor/Management Relations,GRI 402: Labor/Management Relations,GRI 402: Labor/Management Relations,,,
GRI103: ManagementApproach 2016,GRI103: ManagementApproach 2016,103-1Explanation of the material topics and its boundaries,330,,
GRI103: ManagementApproach 2016,GRI103: ManagementApproach 2016,103-2 The management approach and its components,83,,
GRI103: ManagementApproach 2016,GRI103: ManagementApproach 2016,103-3 Evaluation of the management approach,83,,
GRI 402: Employment,GRI 402: Employment,402-1Minimumnoticeperiods regardingoperational changes,86,,
GRI403: Occupational Health and Safety,GRI403: Occupational Health and Safety,GRI403: Occupational Health and Safety,,,
GRI103: ManagementApproach 2016,GRI103: ManagementApproach 2016,,103-1 Explanation of the material topics and its boundaries,103-1 Explanation of the material topics and its boundaries,103-1 Explanation of the material topics and its boundaries
GRI103: ManagementApproach 2016,GRI103: ManagementApproach 2016,103-2 The management approach and its components,89,,
GRI103: ManagementApproach 2016,GRI103: ManagementApproach 2016,103-3 Evaluation of the management approach,89,,
GR1 403: OccupationalHealth and Safety,GR1 403: OccupationalHealth and Safety,403-1 Workers representation in formal joint management-worker health and safety commitees,89,,
GRI Standard,GRI Standard,GRI Standard DisclosureMaterial Topics - Social,GRI Standard DisclosureMaterial Topics - Social,Page No.,
,,GRI Standard DisclosureMaterial Topics - Social,GRI Standard DisclosureMaterial Topics - Social,,
GRI404:Training and Education,GRI404:Training and Education,GRI404:Training and Education,GRI404:Training and Education,GRI404:Training and Education,
GRI103: Management,GRI103: Management,103-1Explanation of the material topicsand its boundaries,330,,
Approach 2016,Approach 2016,103-2 The management approach and its components,87,,
Approach 2016,Approach 2016,103-3 Evaluation of the management approach,87,,
GRI 404: Training andEducation,GRI 404: Training andEducation,404-1 Average hours of training per year per employee,87,,
GRI 405: Diversityand Equal Opportunity,GRI 405: Diversityand Equal Opportunity,,,,
GRI103:ManagementApproach 2016,GRI103:ManagementApproach 2016,103-1 Explanation of the material topics and its boundaries,330,,
GRI103:ManagementApproach 2016,GRI103:ManagementApproach 2016,103-2 The management approach andits components,86,,
GRI103:ManagementApproach 2016,GRI103:ManagementApproach 2016,103-3 Evaluation of the management approach,86,,
GRI 405: Diversity andEqual Opportunity,GRI 405: Diversity andEqual Opportunity,405-2 Ratio of basic salary and remuneration of women to men,86,,
GRI 413: Local Communities,GRI 413: Local Communities,GRI 413: Local Communities,,,
GRI103: Management,GRI103: Management,103-1 Explanation of the material topics and its boundaries,330,,
Approach 2016,Approach 2016,103-2 The management approach and its components,112,,
Approach 2016,Approach 2016,103-3 Evaluationof the management approach,112,,
GRI 413: LocalCommunities,GRI 413: LocalCommunities,"413-1 Operations with local community engagement,impact assessments,and development programs",112,,
