Note,As at March 31, 2020,As at March 31, 2019
Liabilities,Non-current liabilities,Financial liabilities,Lease liabilities,"6,906,44"
Liabilities,Non-current liabilities,Other financial liabilities,8(g),"291,287"
Liabilities,Non-current liabilities,Unearned and deferred revenue,844,697
Liabilities,Non-current liabilities,Employee benefit obligations,14,"417,330"
Liabilities,Non-current liabilities,Deferred tax liabilities (net),17,"779,1,042"
Liabilities,Non-current liabilities,Other liabilities,10(g),",413"
Liabilities,Non-current liabilities,Total non-current liabilities,,"9,090,2,960"
Liabilities,Current liabilities,Financial liabilities,Lease liabilities,",1,268"
Liabilities,Current liabilities,Trade payables,,"6,740,6,292"
Liabilities,Current liabilities,Other financial liabilities,8(g),"6,100,4,903"
Liabilities,Current liabilities,Unearned and deferred revenue,,"2,915,2,392"
Liabilities,Current liabilities,Provisions,10(f),"293,239"
Liabilities,Current liabilities,Employee benefit obligations,14,"2,749,2,356"
Liabilities,Current liabilities,Income tax liabilities(net),,"3,712,2,667"
Liabilities,Current liabilities,Other liabilities,10(g),"3,283,3,235"
Liabilities,Current liabilities,Total current liabilities,,"27,060,22,084"
Liabilities,TOTAL EQUITY AND LIABILITIES,,120,"899,114,943"
