Year ended\tMarch 31, 2020\tYear ended\tMarch 31, 2019
Payment for purchase of intangible assets\t(172)\t(161),,
Proceeds from bank deposits\t11,612\t2,339
Proceeds from inter-corporate deposits\t13,400\t10,472
Proceeds from disposal / redemption of investments\t80,865\t99,561
Proceeds from disposal of property, plant and equipment\t130\t98,
Interest received\t3,353\t2,554
Dividend received from subsidiaries\t3,995\t3,574
Acquisition of subsidiary\t-\t(66),,
Net cash generated from investing activities\t12,829\t5,883
CASH FLOWS FROM FINANCING ACTIVITIES,,
Buy-back of equity shares\t-\t(16,000),
Expenses for buy-back of equity shares\t-\t(45),,
Short-term borrowings (net)\t-\t(181),,
Dividend paid (including tax on dividend)\t(37,634)\t(11,424)
Repayment of lease liabilities\t(668)\t(5),,
Interest paid\t(743)\t(170),,
Net cash used in financing activities\t(39,045)\t(27,825)
Net change in cash and cash equivalents\t387\t2,056,
Cash and cash equivalents at the beginning of the year\t3,327\t1,278
Exchange difference on translation of foreign currency cash and cash equivalents\t138\t(7),,
Cash and cash equivalents at the end of the year (Refer note 6(c))\t3,852\t3,327
