Reserves and surplus,Items of other comprehensive income,Total equity
Capital reserve^3,Capital redemption reserve,"Special Economic Zone re-investment reserve,Retained earnings,Investment revaluation reserve,Cash flow hedging reserve,Intrinsic value,Time value"
-,106,"1,578,74,080,(18),(2),(69),75,675"
-,-,"-,30,065,-,-,-,30,065"
-,-,"-,(14),275,136,39,436"
-,-,"-,30,051,275,136,39,30,501"
-,-,"-,(11,424),-,-,-,(11,424)"
-,8,"-,(16,000),-,-,-,(15,992)"
-,-,"-,(45),-,-,-,(45)"
-,(106),"-,(86),-,-,-,(192)"
-,-,"-,(1),1,-,-,-"
-,-,"2,750,(2,750),-,-,-,-"
-,-,"(3,334),3,334,-,-,-,-"
-,8,"994,77,159,258,134,(30),78,523"
