,Ind AS,Ind AS,Ind AS,Ind AS,Ind AS,Ind AS,Indian GAAP,Indian GAAP,Indian GAAP,Indian GAAP,Indian GAAP,
Ratio Analysis,Units,FY2020,FY2019,FY2018,FY2017,FY2016,FY 2015*,FY 2015,FY 2014,FY 2013,FY 2012,FY2011
Ratios-Financial Performance,,,,,,,,,,,,
Employee Cost/Total Revenue,%,54.8,53.4,53.9,52.2,50.9,51.0,53.8,49.5,50.7,50.5,50.4
Other Operating Cost/Total Revenue,%,18.4,19.6,19.7,20.4,20.9,20.4,20.3,19.8,20.7,20.0,19.6
Total Cost/Total Revenue,%,73.2,73.0,73.6,72.6,71.8,71.4,74.1,69.3,71.4,70.5,70.0
EBITDA (Before Other Income)/Total Revenue,%,26.8,27.0,26.4,27.4,28.2,28.6,25.9,30.7,28.6,29.5,30.0
Profit BeforeTax/Total Revenue,%,26.9,28.4,27.7,29.3,29.3,30.0,27.3,31.1,28.7,28.5,29.5
Tax/Total Revenue,%,6.2,6.8,6.7,6.9,6.9,7.2,6.6,7.4,6.4,70,49
Effective TaxRate-Tax/PBT,%,23.2,24.1,24.1,23.6,23.6,23.5,23.7,23.9,22.2,24.4,16.6
Profit AfterTax/Total Revenue,%,20.6,21.5,21.0,22.3,22.3,23.2,21.0,23.4,22.1,21.3,24.3
Ratios - Growth,,,,,,,,,,,,
Total Revenue,%,7.2,19.0,4.4,8.6,14.8,15.7,15.7,29.9,28.8,31.0,24.3
EBITDA(Before Other Income),%,6.6,21.5,0.6,5.3,25.3,7.8,(2.7,39.4,25.0,29.1,28.6
Profit After Tax,%,2.8,21.9,（1.8,8.3,22.3,14.3,3.6,37.7,33.6,14.8,29.5
Ratios - Balance Sheet,,,,,,,,,,,,
Ratios - Balance Sheet,,,,,,,,,,,,
Debt-Equity Ratio,Times,-,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Current Ratio,Times,3.3,4.2,4.6,5.5,4.1,3.9,2.4,2.7,2.7,2.2,2.4
Days Sales Outstanding (DSO) in terms,Days,7,68,74,70,81,79,79,81,82,86,80
Days Sales Outstanding (DSO)in $ terms,Days,67,69,74,73,80,78,78,82,82,81,82
Invested Funds/Capital Employed,%,47.2,53.5,53.9,54.6,44.2,38.0,43.5,43.0,36.4,34.8,36.8
Capital Expenditure/Total Revenue,%,2.0,1.5,1.5,1.7,18,3.1,3.1,3.8,4.2,4.1,4.9
Operating Cash Flows/Total Revenue,%,20.6,19.5,20.4,21.4,17.6,20.5,20.5,18.0,18.4,14.3,17.7
Free Cash Flow/Operating Cash Flow Ratio,%,90.5,92.5,92.8,92.3,89.7,84.8,84.8,78.9,77.3,71.5,72.7
"Depreciationof PropertyPlantand Equipment/Average Gross Block of Property, Plant and Equipment",%,8.6,,9.1,9.5,10.0,11.7,11.7,10.6,10.2,10.7,10.5
"Depreciationof PropertyPlantand Equipment/Average Gross Block of Property, Plant and Equipment",%,8.6,,9.1,9.5,10.0,11.7,11.7,10.6,10.2,10.7,10.5
,Ind As,Ind As,Ind As,Ind As,Ind As,Ind As,Indian GAAP,Indian GAAP,Indian GAAP,Indian GAAP,Indian GAAP,Indian GAAP
Ratio Analysis,Units,FY2020,FY2019,FY2018FY2017FY2016,FY2018FY2017FY2016,FY2018FY2017FY2016,FY2015*FY2015FY2014FY2013FY2012FY2011,FY2015*FY2015FY2014FY2013FY2012FY2011,FY2015*FY2015FY2014FY2013FY2012FY2011,FY2015*FY2015FY2014FY2013FY2012FY2011,FY2015*FY2015FY2014FY2013FY2012FY2011,FY2015*FY2015FY2014FY2013FY2012FY2011
Ratios - Per Share,,,,,,,,,,,,
EPS-adjusted for Bonus,1,86.19,83.05,67.10,66.71,61.59,55.94,50.68,48.84,35.50,26.54,23.14
"Price Earning Ratio,endof year",Times,21.2,24.1,21.2,18.2,20.4,22.8,25.1,21.8,22.1,22.0,25.6
Dividend Per Share,,73.00,30.00,50.00,47.00,43.50,79.00,79.00,32.00,22.00,25.00,14.00
Dividend Per Share-adjusted for Bonus,,73.00,30.00,25.00,23.50,21.75,39.50,39.50,16.00,11.00,12.50,700
Market Capitalization/Total Revenue,Times,4.4,5.1,4.4,4.1,4.6,5.3,5.3,5.1,4.9,4.7,6.2
