"As at March 31, 2020 Deferred tax assets/(liabilities) in relation to",Assets,Liabilities,Net
"As at March 31, 2020 Deferred tax assets/(liabilities) in relation to",279,134,145
"Property, plant and equipment and intangible assets",279,134,145
Provision for employee benefits,663,9,654
Cash flow hedges,7,-,7
"Receivables,financial assetsat amortised cost",387,(1),388
MAT credit entitlement,"1,074",■,"1,074"
Branch profit tax,,284,(284)
Undistributed earnings of subsidiaries,,286,(286)
Unrealised gain on securities carried at,(483),1,(484)
fair value through profit or loss/other comprehensive income,,,
Lease liabilities,342,(3),345
Others,559,69,490
Total deferred taxassets/(liabilities),"2,828",779,"2,049"
