Opening balance,Recognised in profit and loss,Recognised in / reclassified from other comprehensive income,Closing balance
"Property, plant and equipment and intangible assets",67,30,"-,97"
Provision for employee benefits,311,57,"-,368"
Cash flow hedges,10,-,"(22),(12)"
"Receivables, financial assets at amortised cost",238,46,"-,284"
MAT credit entitlement,2204,(1047),"-,1157"
Branch profit tax,400,101,"-,299"
Unrealised gain on securities carried at fair value through profit or loss / other comprehensive income,-,",-(149)",(149)
Lease liabilities,80,8,"-,88"
Others,117,108,"-,225"
Total deferred tax assets / (liabilities),2626,(697),"(171),1758"
