"As at March 31,2019 Deferred tax assets/(liabilities) in relation to Property, plant and equipment and intangible",Assets,Liabilities,Net
"As at March 31,2019 Deferred tax assets/(liabilities) in relation to Property, plant and equipment and intangible",212,117,95
assets Provision for employee benefits,532,1,531
Cash flow hedges,(12),.,(12)
"Receivables,financial assetsat amortised cost",339,(1),340
MAT credit entitlement,"1,170",.,"1,170"
Branch profit tax Undistributed earnings of subsidiaries,-,299,(299)
Unrealised gain on securities carried at,， (149),574,(574)
fair value through profit or loss/other,,-,(149)
comprehensive income,,,
Lease liabilities,94,-,94
Others,470,52,418
Total deferred taxassets/(liabilities),"2,656","1,042","1,614"
