,,"Asat March 31, 2020","Asat March 31, 2020","As at March 31,2019"
(ix),Transfer from Special Economic Zone re-investment reserve,Transfer from Special Economic Zone re-investment reserve,"2,347","3,334"
(x) Less: Appropriations,(x) Less: Appropriations,(x) Less: Appropriations,"112,113","91,341"
,(a),Dividend on equity shares,"31,896","10,085"
,(b),Tax on dividend,"5,738","1,339"
,(c）,Transfer to capital redemption reserve*,□,8
,(d),Transfer to Special Economic Zone re-investment reserve,"2,947","2,750"
,Investment revaluation reserve,Investment revaluation reserve,"71,532","77,159"
(i) Opening balance,(i) Opening balance,,258,(18)
(ii),fair value through OCl,Realised loss on equity shares carried at,,1
(i),(i),Change during the year (net),624,275
,,Cash flow hedging reserve (Refer note 6(k)),882,258
(i) Opening balance,(i) Opening balance,,104,(71)
(ii),(ii),Change during the year (net),(127) (23),175 104
