Sr. No.,Name and address of the Company,CIN/GLN,Holding/Subsidiary/Associate,% of shares held,Applicable Section
1,"Tata Sons Private Limited,Bombay House, 24, Homi Modi Street, Mumbai, Maharashtra 400001, India",U99999MH1917PTC000478,Holding,72,2(46)
2,"APTOnline Limited,STP Block SGA-Z4, Synergy Park (Non-SEZ) Campus, Opp. DLF Cybercity, Gachibowli, Hyderabad 500032, India",U75142TG2002PLC039671,Subsidiary,89,2(87)
3,"C-Edge Technologies Limited,Palm Centre, Banyan Park, Suren Road, Andheri East, Mumbai, Maharashtra 400093, India",U72900MH2006PLC159038,- do -,51,2(87)
4,"MP Online Limited,No 4th Floor, OB 14 to 17 DB City Corporate Block , DB Mall Arera Hill, Bhopal 462011, Madhya Pradesh, India",U72400MP2006PLC018777,- do -,89,2(87)
5,"TCS e-Serve International Limited,9th Floor, Nirmal Building, Nariman Point, Mumbai 400021, Maharashtra, India",U72300MH2007PLC240002,- do -,100,2(87)
6,"MahaOnline Limited,Directorate of Information Technology, Mantralaya Annex, 7th Floor, Mumbai 400032, Maharashtra, India",U72900MH2010PLC206026,- do -,74,2(87)
7,"TCS Foundation,9th Floor, Nirmal Building, Nariman Point, Mumbai 400021, Maharashtra, India",U74999MH2015NPL262710,- do -,100,2(87)
8,"Tata Consultancy Services (Africa) (PTY) Ltd.,39 Ferguson Road, Illovo, Johannesburg 2196, South Africa",Not Applicable,- do -,100,2(87)
9,"Tata Consultancy Services (South Africa) (PTY) Ltd.,39 Ferguson Road, Illovo, Johannesburg 2196, South Africa",- do -,- do -,100,2(87)
10,"Tata Consultancy Services Qatar S. S. C.,Al Bidda Tower, Corniche Street, 7th floor, Building no. 56, Zone no. 60, Street no. 830, P.O. Box No. 207210, Doha, State of Qatar",- do -,- do -,100,2(87)
11,"Tata Consultancy Services Saudi Arabia,Akaria, Centre II, 7th Floor, Office No 712, Riyadh – 11372, Kingdom of Saudi Arabia",- do -,- do -,76,2(87)
